
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1973,3,1973-09-30,24-258,PHI,,WAS,L 7-28,1,6,6.00,0,,1,9,9.00,0,0,0,,0
2,1973,13,1973-12-09,24-328,PHI,,NYJ,W 24-23,0,0,,0,,0,0,,0,1,17,17.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
3,1974,7,1974-10-27,25-285,PHI,@,NOR,L 10-14,1,4,4.00,0,,0,0,,0,0,0,,0
4,1974,12,1974-12-01,25-320,PHI,,GNB,W 36-14,2,3,1.50,0,,0,0,,0,0,0,,0
5,1974,14,1974-12-15,25-334,PHI,,DET,W 28-17,4,12,3.00,0,,0,0,,0,0,0,,0
,,,5 Games,,,,,3-2-0,8,25,3.13,0,,1,9,9.00,0,1,17,17.00,0
