
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1972,5,1972-10-15,23-344,NYG,@,SFO,W 23-17,0,0,,0,,0,0,,0,1,20,20.00,0,0,0
2,1972,6,1972-10-22,23-351,NYG,,STL,W 27-21,0,0,,0,,0,0,,0,2,42,21.00,0,0,0
3,1972,7,1972-10-29,23-358,NYG,,WAS,L 16-23,0,0,,0,,0,0,,0,1,22,22.00,0,0,0
4,1972,8,1972-11-05,23-365,NYG,,DEN,W 29-17,12,31,2.58,1,,1,-2,-2.00,0,1,13,13.00,0,1,6
5,1972,9,1972-11-12,24-006,NYG,@,WAS,L 13-27,2,0,0.00,0,,0,0,,0,1,23,23.00,0,0,0
6,1972,10,1972-11-19,24-013,NYG,@,STL,W 13-7,7,28,4.00,0,,2,3,1.50,0,1,12,12.00,0,0,0
7,1972,11,1972-11-26,24-020,NYG,,PHI,W 62-10,11,54,4.91,0,,1,5,5.00,1,3,60,20.00,0,1,6
8,1972,12,1972-12-03,24-027,NYG,@,CIN,L 10-13,3,13,4.33,0,,0,0,,0,0,0,,0,0,0
9,1972,13,1972-12-10,24-034,NYG,,MIA,L 13-23,0,0,,0,,0,0,,0,2,52,26.00,0,0,0
10,1972,14,1972-12-17,24-041,NYG,@,DAL,W 23-3,1,3,3.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
11,1973,1,1973-09-16,24-314,NYG,,HOU,W 34-14,5,27,5.40,1,,0,0,,0,0,0,,0,1,6
12,1973,2,1973-09-23,24-321,NYG,,PHI,T 23-23,0,0,,0,,0,0,,0,1,8,8.00,0,0,0
13,1973,3,1973-09-30,24-328,NYG,@,CLE,L 10-12,15,36,2.40,0,,0,0,,0,1,17,17.00,0,0,0
14,1973,4,1973-10-07,24-335,NYG,,GNB,L 14-16,14,40,2.86,0,,6,44,7.33,0,0,0,,0,0,0
15,1973,12,1973-12-02,25-026,NYG,@,WAS,L 24-27,0,0,,0,,0,0,,0,1,21,21.00,0,0,0
16,1973,13,1973-12-10,25-034,NYG,@,RAM,L 6-40,2,1,0.50,0,,0,0,,0,2,42,21.00,0,0,0
17,1973,14,1973-12-16,25-040,NYG,,MIN,L 7-31,0,0,,0,,0,0,,0,1,16,16.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
18,1974,3,1974-09-29,25-327,BAL,@,PHI,L 10-30,0,0,,0,,1,8,8.00,0,0,0,,0,0,0
19,1974,6,1974-10-20,25-348,BAL,@,NYJ,W 35-20,2,3,1.50,1,,0,0,,0,0,0,,0,1,6
20,1974,7,1974-10-27,25-355,BAL,@,MIA,L 7-17,0,0,,0,,0,0,,0,1,23,23.00,0,0,0
21,1974,11,1974-11-24,26-018,BAL,,NWE,L 17-27,0,0,,0,,0,0,,0,1,21,21.00,0,0,0
22,1974,13,1974-12-08,26-032,BAL,,MIA,L 16-17,0,0,,0,,0,0,,0,1,24,24.00,0,0,0
,,,22 Games,,,,,8-13-1,74,236,3.19,3,,11,58,5.27,1,21,416,19.81,0,4,24
