
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1980,1,1980-09-07,22-186,MIN,,ATL,W 24-23,2,4,2.00,0,,1,7,7.00,0,0,0,,0,0,0
2,1980,3,1980-09-21,22-200,MIN,@,CHI,W 34-14,0,0,,0,,0,0,,0,1,20,20.00,0,0,0
3,1980,4,1980-09-28,22-207,MIN,@,DET,L 7-27,1,2,2.00,0,,0,0,,0,0,0,,0,0,0
4,1980,6,1980-10-12,22-221,MIN,,CHI,W 13-7,0,0,,0,,0,0,,0,1,22,22.00,0,0,0
5,1980,9,1980-11-02,22-242,MIN,@,WAS,W 39-14,1,2,2.00,0,,0,0,,0,0,0,,0,0,0
6,1980,10,1980-11-09,22-249,MIN,,DET,W 34-0,4,15,3.75,0,,0,0,,0,0,0,,0,0,0
7,1980,12,1980-11-23,22-263,MIN,,GNB,L 13-25,0,0,,0,,0,0,,0,1,18,18.00,0,0,0
8,1980,13,1980-11-30,22-270,MIN,@,NOR,W 23-20,4,25,6.25,1,,0,0,,0,0,0,,0,1,6
9,1980,15,1980-12-14,22-284,MIN,,CLE,W 28-23,0,0,,0,,0,0,,0,1,6,6.00,0,0,0
10,1980,16,1980-12-21,22-291,MIN,@,HOU,L 16-20,3,5,1.67,0,,1,11,11.00,0,0,0,,0,0,0
,,,10 Games,,,,,7-3-0,15,53,3.53,1,,2,18,9.00,0,4,66,16.50,0,1,6
