
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1976,2,1976-09-19,22-111,BUF,,HOU,L 3-13,9,32,3.56,0,,1,6,6.00,0,0,0,,0,0,0
2,1976,3,1976-09-26,22-118,BUF,@,TAM,W 14-9,2,8,4.00,0,,0,0,,0,0,0,,0,0,0
3,1976,11,1976-11-21,22-174,BUF,,SDG,L 13-34,0,0,,0,,0,0,,0,3,77,25.67,0,0,0
4,1976,12,1976-11-25,22-178,BUF,@,DET,L 14-27,0,0,,0,,0,0,,0,1,24,24.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
5,1978,3,1978-09-17,24-109,NYJ,,SEA,L 17-24,0,0,,0,,0,0,,0,1,20,20.00,0,0,0
6,1978,6,1978-10-08,24-130,NYJ,,BUF,W 45-14,6,31,5.17,0,,0,0,,0,0,0,,0,0,0
7,1978,8,1978-10-22,24-144,NYJ,,STL,W 23-10,2,9,4.50,0,,0,0,,0,0,0,,0,0,0
8,1978,12,1978-11-19,24-172,NYJ,,NWE,L 17-19,4,12,3.00,0,,0,0,,0,0,0,,0,0,0
9,1978,13,1978-11-26,24-179,NYJ,@,MIA,W 24-13,8,25,3.13,1,,0,0,,0,0,0,,0,1,6
10,1978,14,1978-12-03,24-186,NYJ,,BAL,W 24-16,0,0,,0,,0,0,,0,1,4,4.00,0,0,0
11,1978,15,1978-12-10,24-193,NYJ,@,CLE,L 34-37,0,0,,0,,0,0,,0,1,26,26.00,0,0,0
,,,11 Games,,,,,5-6-0,31,117,3.77,1,,1,6,6.00,0,7,151,21.57,0,1,6
