
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,1,1960-09-25,26-022,BAL,,WAS,W 20-0,2,17,8.50,0,,1,5,5.00,0,1,15,15.00,0,0,0
2,1960,2,1960-10-02,26-029,BAL,,CHI,W 42-7,1,2,2.00,0,,0,0,,0,0,0,,0,0,0
3,1960,3,1960-10-09,26-036,BAL,@,GNB,L 21-35,0,0,,0,,1,21,21.00,0,1,14,14.00,0,0,0
4,1960,4,1960-10-16,26-043,BAL,,RAM,W 31-17,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0
5,1960,5,1960-10-23,26-050,BAL,@,DET,L 17-30,0,0,,0,,0,0,,0,1,12,12.00,0,0,0
6,1960,6,1960-10-30,26-057,BAL,@,DAL,W 45-7,14,55,3.93,1,,1,18,18.00,0,0,0,,0,1,6
7,1960,7,1960-11-06,26-064,BAL,,GNB,W 38-24,6,13,2.17,0,,0,0,,0,0,0,,0,0,0
8,1960,8,1960-11-13,26-071,BAL,@,CHI,W 24-20,6,19,3.17,0,,0,0,,0,0,0,,0,0,0
9,1960,9,1960-11-27,26-085,BAL,,SFO,L 22-30,0,0,,0,,0,0,,0,2,30,15.00,0,0,0
10,1960,10,1960-12-04,26-092,BAL,,DET,L 15-20,4,8,2.00,0,,1,9,9.00,0,1,17,17.00,0,0,0
11,1960,11,1960-12-11,26-099,BAL,@,RAM,L 3-10,8,11,1.38,0,,3,11,3.67,0,0,0,,0,0,0
12,1960,12,1960-12-18,26-106,BAL,@,SFO,L 10-34,4,9,2.25,0,,1,13,13.00,1,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
13,1961,9,1961-11-12,27-070,DTX,,BUF,L 20-30,0,0,,0,,0,0,,0,1,19,19.00,0,0,0
14,1961,11,1961-11-26,27-084,DTX,,OAK,W 43-11,2,3,1.50,0,,0,0,,0,0,0,,0,0,0
15,1961,12,1961-12-03,27-091,DTX,@,NYT,L 7-28,2,6,3.00,0,,0,0,,0,0,0,,0,0,0
16,1961,13,1961-12-10,27-098,DTX,,DEN,W 49-21,1,4,4.00,0,,2,21,10.50,0,0,0,,0,0,0
,,,16 Games,,,,,8-8-0,51,144,2.82,1,,10,98,9.80,1,7,107,15.29,0,2,12
