
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1966,1,1966-09-02,22-336,MIA,,OAK,L 14-23,1,-2,-2.00,0,,1,5,5.00,0,0,0,,0,0,0
2,1966,2,1966-09-09,22-343,MIA,,NYJ,L 14-19,3,4,1.33,0,,0,0,,0,0,0,,0,0,0
3,1966,3,1966-09-18,22-352,MIA,@,BUF,L 24-58,1,14,14.00,0,,0,0,,0,0,0,,0,0,0
4,1966,4,1966-10-02,23-001,MIA,@,SDG,L 10-44,4,11,2.75,0,,0,0,,0,0,0,,0,0,0
5,1966,5,1966-10-09,23-008,MIA,@,OAK,L 10-21,3,9,3.00,0,,0,0,,0,0,0,,0,0,0
6,1966,6,1966-10-16,23-015,MIA,,DEN,W 24-7,1,-1,-1.00,0,,0,0,,0,0,0,,0,0,0
7,1966,7,1966-10-23,23-022,MIA,@,HOU,W 20-13,10,45,4.50,0,,0,0,,0,0,0,,0,0,0
8,1966,8,1966-11-06,23-036,MIA,,BUF,L 0-29,2,9,4.50,0,,0,0,,0,0,0,,0,0,0
9,1966,9,1966-11-13,23-043,MIA,@,KAN,L 16-34,2,2,1.00,0,,0,0,,0,0,0,,0,0,0
10,1966,11,1966-11-27,23-057,MIA,,BOS,L 14-20,1,-1,-1.00,0,,0,0,,0,0,0,,0,0,0
11,1966,13,1966-12-11,23-071,MIA,,KAN,L 18-19,3,17,5.67,0,,1,9,9.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
12,1967,1,1967-09-17,23-351,MIA,,DEN,W 35-21,8,28,3.50,0,,1,27,27.00,1,0,0,,0,1,6
13,1967,2,1967-09-24,23-358,MIA,,KAN,L 0-24,4,6,1.50,0,,1,0,0.00,0,0,0,,0,0,0
14,1967,3,1967-10-01,24-000,MIA,@,NYJ,L 7-29,6,41,6.83,1,,0,0,,0,0,0,,0,1,6
15,1967,4,1967-10-08,24-007,MIA,@,KAN,L 0-41,6,50,8.33,0,,2,11,5.50,0,0,0,,0,0,0
16,1967,5,1967-10-15,24-014,MIA,@,BOS,L 10-41,6,16,2.67,0,,0,0,,0,0,0,,0,0,0
17,1967,6,1967-10-22,24-021,MIA,,NYJ,L 14-33,4,4,1.00,0,,1,-8,-8.00,0,0,0,,0,0,0
18,1967,7,1967-11-05,24-035,MIA,@,BUF,L 13-35,9,23,2.56,0,,1,8,8.00,0,0,0,,0,0,0
19,1967,8,1967-11-12,24-042,MIA,@,SDG,L 0-24,3,11,3.67,0,,0,0,,0,0,0,,0,0,0
20,1967,10,1967-11-26,24-056,MIA,,BUF,W 17-14,0,0,,0,,2,18,9.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
21,1968,2,1968-09-21,24-356,MIA,,OAK,L 21-47,1,-2,-2.00,0,,0,0,,0,0,0,,0,0,0
22,1968,11,1968-11-24,25-054,MIA,@,BOS,W 34-10,3,14,4.67,0,,0,0,,0,1,22,22.00,0,0,0
23,1968,13,1968-12-08,25-068,MIA,,BOS,W 38-7,1,15,15.00,0,,0,0,,0,0,0,,0,0,0
,,,23 Games,,,,,6-17-0,82,313,3.82,1,,10,70,7.00,1,1,22,22.00,0,2,12
