
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1975,1,1975-09-21,24-211,CLE,@,CIN,L 17-24,1,1,1.00,0,,0,0,,0,0,0
2,1975,2,1975-09-28,24-218,CLE,,MIN,L 10-42,8,46,5.75,0,,4,26,6.50,0,0,0
3,1975,3,1975-10-05,24-225,CLE,,PIT,L 6-42,5,10,2.00,0,,0,0,,0,0,0
4,1975,4,1975-10-12,24-232,CLE,,HOU,L 10-40,2,2,1.00,0,,0,0,,0,0,0
5,1975,5,1975-10-19,24-239,CLE,@,DEN,L 15-16,12,38,3.17,0,,0,0,,0,0,0
6,1975,6,1975-10-26,24-246,CLE,,WAS,L 7-23,4,17,4.25,0,,0,0,,0,0,0
7,1975,7,1975-11-02,24-253,CLE,@,BAL,L 7-21,3,0,0.00,0,,3,21,7.00,0,0,0
8,1975,8,1975-11-09,24-260,CLE,@,DET,L 10-21,8,14,1.75,0,,1,8,8.00,0,0,0
9,1975,9,1975-11-16,24-267,CLE,@,OAK,L 17-38,4,2,0.50,0,,1,4,4.00,0,0,0
10,1975,10,1975-11-23,24-274,CLE,,CIN,W 35-23,13,40,3.08,0,,2,10,5.00,0,0,0
11,1975,11,1975-11-30,24-281,CLE,,NOR,W 17-16,8,18,2.25,0,,1,3,3.00,0,0,0
12,1975,12,1975-12-07,24-288,CLE,@,PIT,L 17-31,2,6,3.00,0,,1,18,18.00,0,0,0
13,1975,13,1975-12-14,24-295,CLE,,KAN,W 40-14,1,-1,-1.00,0,,2,18,9.00,0,0,0
14,1975,14,1975-12-21,24-302,CLE,@,HOU,L 10-21,4,6,1.50,0,,1,1,1.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
15,1976,10,1976-11-14,25-266,ATL,,SFO,W 21-16,2,3,1.50,0,,0,0,,0,0,0
16,1976,11,1976-11-21,25-273,ATL,,DAL,W 17-10,2,8,4.00,0,,0,0,,0,0,0
17,1976,12,1976-11-28,25-280,ATL,@,HOU,L 14-20,0,0,,0,,1,1,1.00,0,0,0
18,1976,14,1976-12-12,25-294,ATL,,GNB,L 20-24,10,63,6.30,1,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
19,1977,8,1977-11-06,26-257,ATL,,SFO,L 3-10,1,2,2.00,0,,0,0,,0,0,0
20,1977,9,1977-11-13,26-264,ATL,,DET,W 17-6,1,-1,-1.00,0,,0,0,,0,0,0
21,1977,11,1977-11-27,26-278,ATL,@,TAM,W 17-0,1,6,6.00,0,,0,0,,0,0,0
,,,21 Games,,,,,7-14-0,92,280,3.04,1,,17,110,6.47,0,1,6
