
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,1995,1,1995-09-03,23-260,KAN,@,SEA,W 34-10,2,3,1.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,1995,2,1995-09-10,23-267,KAN,,NYG,W 20-17,1,5,5.00,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
3,1995,3,1995-09-17,23-274,KAN,,OAK,W 23-17,0,0,,0,0,,,,,,,,,,,,,
4,1995,4,1995-09-24,23-281,KAN,@,CLE,L 17-35,0,0,,0,,,,,,,,,,,,,,
5,1995,5,1995-10-01,23-288,KAN,@,ARI,W 24-3,0,0,,0,,,,,,,,,,,,,,
6,1995,6,1995-10-09,23-296,KAN,,SDG,W 29-23,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,1995,7,1995-10-15,23-302,KAN,,NWE,W 31-26,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,1995,8,1995-10-22,23-309,KAN,@,DEN,W 21-7,0,0,,0,0,,,,,,,,,,,,,
9,1995,9,1995-11-05,23-323,KAN,,WAS,W 24-3,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,1995,10,1995-11-12,23-330,KAN,@,SDG,W 22-7,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,1995,12,1995-11-23,23-341,KAN,@,DAL,L 12-24,0,0,,0,,,,,,,,,,,,,,
12,1995,13,1995-12-03,23-351,KAN,@,OAK,W 29-23,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,1995,15,1995-12-17,24-000,KAN,,DEN,W 20-17,0,0,,0,,,,,,,,,,,,,,
