
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2003,16,2003-12-28,25-005,DEN,@,GNB,L 3-31,12,31,2.58,0,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
2,2004,8,2004-10-31,25-313,DEN,,ATL,L 28-41,,,,,,,,,,,,,,,
3,2004,9,2004-11-07,25-320,DEN,,HOU,W 31-13,,,,,,,,,,,,,,,
4,2004,13,2004-12-12,25-355,DEN,,MIA,W 20-17,,,,,,,,,,,,,,,
5,2004,15,2004-12-25,26-002,DEN,@,TEN,W 37-16,,,,,2,,,,,,,,,,
6,2004,16,2005-01-02,26-010,DEN,,IND,W 33-14,4,32,8.00,0,0,0,0,,0,1,34,34.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,2005,1,2005-09-11,26-262,DEN,@,MIA,L 10-34,0,0,,0,,0,0,,0,0,0,,0,0,0
8,2005,2,2005-09-18,26-269,DEN,,SDG,W 20-17,0,0,,0,,0,0,,0,0,0,,0,0,0
9,2005,3,2005-09-26,26-277,DEN,,KAN,W 30-10,0,0,,0,1,1,12,12.00,0,0,0,,0,0,0
10,2005,4,2005-10-02,26-283,DEN,@,JAX,W 20-7,0,0,,0,1,1,5,5.00,0,0,0,,0,0,0
11,2005,5,2005-10-09,26-290,DEN,,WAS,W 21-19,0,0,,0,,0,0,,0,0,0,,0,0,0
12,2005,6,2005-10-16,26-297,DEN,,NWE,W 28-20,0,0,,0,0,0,0,,0,0,0,,0,0,0
13,2005,7,2005-10-23,26-304,DEN,@,NYG,L 23-24,0,0,,0,,0,0,,0,0,0,,0,0,0
14,2005,8,2005-10-30,26-311,DEN,,PHI,W 49-21,0,0,,0,,0,0,,0,0,0,,0,0,0
15,2005,9,2005-11-13,26-325,DEN,@,OAK,W 31-17,0,0,,0,,0,0,,0,0,0,,0,0,0
16,2005,10,2005-11-20,26-332,DEN,,NYJ,W 27-0,5,21,4.20,0,0,0,0,,0,0,0,,0,0,0
17,2005,11,2005-11-24,26-336,DEN,@,DAL,W 24-21,0,0,,0,,0,0,,0,0,0,,0,0,0
18,2005,12,2005-12-04,26-346,DEN,@,KAN,L 27-31,0,0,,0,0,0,0,,0,1,20,20.00,0,0,0
19,2005,13,2005-12-11,26-353,DEN,,BAL,W 12-10,0,0,,0,,0,0,,0,0,0,,0,0,0
20,2005,14,2005-12-17,26-359,DEN,@,BUF,W 28-17,0,0,,0,0,0,0,,0,1,8,8.00,0,0,0
21,2005,15,2005-12-24,27-001,DEN,,OAK,W 22-3,0,0,,0,0,0,0,,0,0,0,,0,0,0
22,2005,16,2005-12-31,27-008,DEN,@,SDG,W 23-7,0,0,,0,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
23,2006,2,2006-09-17,27-268,DEN,,KAN,W 9-6,0,0,,0,,0,0,,0,0,0,,0,0,0
24,2006,3,2006-09-24,27-275,DEN,@,NWE,W 17-7,0,0,,0,2,1,3,3.00,0,0,0,,0,0,0
