
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2007,6,2007-10-21,22-224,BUF,,BAL,W 19-14,,0,0,,0,0,0,0.0,0,0
2,2007,7,2007-10-28,22-231,BUF,@,NYJ,W 13-3,1,1,9,9.00,0,0,0,0.0,0,0
3,2007,8,2007-11-04,22-238,BUF,,CIN,W 33-21,2,2,10,5.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
4,2008,1,2008-09-07,23-180,BUF,,SEA,W 34-10,,,,,,,,,,
5,2008,2,2008-09-14,23-187,BUF,@,JAX,W 20-16,1,1,11,11.00,0,0,0,0.0,0,0
6,2008,3,2008-09-21,23-194,BUF,,OAK,W 24-23,2,,,,,,,,,
7,2008,4,2008-09-28,23-201,BUF,@,STL,W 31-14,1,1,21,21.00,0,0,0,0.0,0,0
8,2008,5,2008-10-05,23-208,BUF,@,ARI,L 17-41,,,,,,,,,,
9,2008,6,2008-10-19,23-222,BUF,,SDG,W 23-14,1,1,18,18.00,0,0,0,0.0,0,0
10,2008,7,2008-10-26,23-229,BUF,@,MIA,L 16-25,1,1,9,9.00,0,0,0,0.0,1,0
11,2008,8,2008-11-02,23-236,BUF,,NYJ,L 17-26,,,,,,,,,,
12,2008,9,2008-11-09,23-243,BUF,@,NWE,L 10-20,1,1,14,14.00,0,0,0,0.0,0,0
13,2008,10,2008-11-17,23-251,BUF,,CLE,L 27-29,,,,,,,,,,
14,2008,11,2008-11-23,23-257,BUF,@,KAN,W 54-31,3,3,25,8.33,1,1,6,0.0,0,0
15,2008,12,2008-11-30,23-264,BUF,,SFO,L 3-10,6,4,44,11.00,0,0,0,0.0,0,0
16,2008,13,2008-12-07,23-271,BUF,,MIA,L 3-16,2,1,5,5.00,0,0,0,0.0,0,0
17,2008,14,2008-12-14,23-278,BUF,@,NYJ,L 27-31,,,,,,,,,,
18,2008,15,2008-12-21,23-285,BUF,@,DEN,W 30-23,,,,,,,,,,
19,2008,16,2008-12-28,23-292,BUF,,NWE,L 0-13,2,2,6,3.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
20,2009,1,2009-09-14,24-187,BUF,@,NWE,L 24-25,4,3,41,13.67,0,0,0,0.0,0,0
21,2009,2,2009-09-20,24-193,BUF,,TAM,W 33-20,7,6,62,10.33,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
22,2010,12,2010-12-05,25-269,STL,@,ARI,W 19-6,,,,,,,,,,
23,2010,13,2010-12-12,25-276,STL,@,NOR,L 13-31,,,,,,,,,,
24,2010,14,2010-12-19,25-283,STL,,KAN,L 13-27,,,,,,,,,,
25,2010,15,2010-12-26,25-290,STL,,SFO,W 25-17,,,,,,,,,,
,,,25 Games,,,,,13-12-0,34,27,275,10.19,1,1,6,0.0,1,0
