
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1966,3,1966-10-02,22-180,DAL,@,ATL,W 47-14,4,13,3.25,0,,0,0,,0,0,0,,0,0,0
2,1966,4,1966-10-09,22-187,DAL,,PHI,W 56-7,6,89,14.83,1,,0,0,,0,0,0,,0,1,6
3,1966,7,1966-10-30,22-208,DAL,,PIT,W 52-21,7,16,2.29,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
4,1967,1,1967-09-17,23-165,DAL,@,CLE,W 21-14,6,16,2.67,0,,0,0,,0,0,0,,0,0,0
5,1967,2,1967-09-24,23-172,DAL,,NYG,W 38-24,5,18,3.60,0,,0,0,,0,0,0,,0,0,0
6,1967,3,1967-10-01,23-179,DAL,,RAM,L 13-35,0,0,,0,,0,0,,0,1,19,19.00,0,0,0
7,1967,5,1967-10-15,23-193,DAL,,NOR,W 14-10,1,-4,-4.00,0,,0,0,,0,1,35,35.00,0,0,0
8,1967,6,1967-10-22,23-200,DAL,@,PIT,W 24-21,0,0,,0,,0,0,,0,1,6,6.00,0,0,0
9,1967,7,1967-10-29,23-207,DAL,@,PHI,L 14-21,0,0,,0,,0,0,,0,1,15,15.00,0,0,0
10,1967,11,1967-11-23,23-232,DAL,,STL,W 46-21,0,0,,0,,0,0,,0,1,21,21.00,0,0,0
11,1967,12,1967-12-03,23-242,DAL,@,BAL,L 17-23,1,6,6.00,0,,1,14,14.00,0,0,0,,0,0,0
12,1967,13,1967-12-10,23-249,DAL,,PHI,W 38-17,4,23,5.75,0,,2,22,11.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
13,1968,1,1968-09-15,24-163,DAL,,DET,W 59-13,2,-1,-0.50,0,,0,0,,0,0,0,,0,0,0
14,1968,4,1968-10-06,24-184,DAL,@,STL,W 27-10,16,89,5.56,1,,0,0,,0,0,0,,0,1,6
15,1968,5,1968-10-13,24-191,DAL,,PHI,W 34-14,12,44,3.67,0,,1,-1,-1.00,0,0,0,,0,0,0
16,1968,6,1968-10-20,24-198,DAL,@,MIN,W 20-7,7,-11,-1.57,0,,4,67,16.75,0,0,0,,0,0,0
17,1968,8,1968-11-03,24-212,DAL,@,NOR,W 17-3,2,16,8.00,0,,0,0,,0,0,0,,0,0,0
18,1968,10,1968-11-17,24-226,DAL,@,WAS,W 44-24,8,16,2.00,0,,3,28,9.33,0,0,0,,0,0,0
19,1968,11,1968-11-24,24-233,DAL,@,CHI,W 34-3,3,7,2.33,0,,1,-7,-7.00,0,0,0,,0,0,0
20,1968,13,1968-12-08,24-247,DAL,,PIT,W 28-7,2,-17,-8.50,0,,0,0,,0,0,0,,0,0,0
21,1968,14,1968-12-15,24-254,DAL,@,NYG,W 28-10,12,36,3.00,0,,1,18,18.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
22,1969,1,1969-09-21,25-169,DAL,,STL,W 24-3,2,-1,-0.50,0,,0,0,,0,1,2,2.00,0,0,0
