
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2002,1,2002-09-08,23-271,TEN,,PHI,W 27-24,1,1,6,6.00,0,0,0,,0,3,57,19.00,0,1,0,0.00,0,0,0
2,2002,2,2002-09-15,23-278,TEN,@,DAL,L 13-21,0,0,0,,0,0,0,,0,3,65,21.67,0,0,0,,0,0,0
3,2002,3,2002-09-22,23-285,TEN,,CLE,L 28-31,2,2,15,7.50,1,1,1,1.00,0,1,16,16.00,0,1,30,30.00,0,1,6
4,2002,4,2002-09-29,23-292,TEN,@,OAK,L 25-52,4,4,50,12.50,0,4,11,2.75,1,1,16,16.00,0,1,14,14.00,0,1,6
5,2002,5,2002-10-06,23-299,TEN,,WAS,L 14-31,2,2,15,7.50,1,2,7,3.50,0,3,49,16.33,0,3,27,9.00,0,1,6
6,2002,6,2002-10-13,23-306,TEN,,JAX,W 23-14,3,3,-1,-0.33,0,0,0,,0,1,23,23.00,0,2,9,4.50,0,0,0
7,2002,8,2002-11-03,23-327,TEN,@,IND,W 23-15,,,,,,,,,,,,,,,,,,,
8,2002,9,2002-11-10,23-334,TEN,,HOU,W 17-10,1,1,-4,-4.00,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
9,2002,12,2002-12-01,23-355,TEN,@,NYG,W 32-29,3,2,44,22.00,0,0,0,,0,1,19,19.00,0,0,0,,0,0,0
10,2002,13,2002-12-08,23-362,TEN,,IND,W 27-17,1,1,42,42.00,1,0,0,,0,3,55,18.33,0,1,10,10.00,0,1,6
11,2002,14,2002-12-16,24-005,TEN,,NWE,W 24-7,0,0,0,,0,0,0,,0,2,31,15.50,0,0,0,,0,0,0
12,2002,15,2002-12-22,24-011,TEN,@,JAX,W 28-10,0,0,0,,0,1,1,1.00,0,2,40,20.00,0,4,23,5.75,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
13,2003,9,2003-11-09,24-333,WAS,,SEA,W 27-20,0,0,0,,0,2,9,4.50,0,1,21,21.00,0,0,0,,0,0,0
14,2003,11,2003-11-23,24-347,WAS,@,MIA,L 23-24,2,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
15,2003,15,2003-12-21,25-010,WAS,@,CHI,L 24-27,0,,,,,,,,,,,,,,,,,,
16,2003,16,2003-12-27,25-016,WAS,,PHI,L 7-31,1,1,5,5.00,0,1,0,0.00,0,0,0,,0,0,0,,0,0,0
,,,16 Games,,,,,9-7-0,20,19,188,9.89,3,12,27,2.25,1,21,392,18.67,0,13,113,8.69,0,4,24
