
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1968,1,1968-09-06,24-201,CIN,@,SDG,L 13-29,9,26,2.89,0,,6,51,8.50,0,0,0
2,1968,2,1968-09-15,24-210,CIN,,DEN,W 24-10,12,28,2.33,0,,1,-6,-6.00,0,0,0
3,1968,3,1968-09-22,24-217,CIN,,BUF,W 34-23,13,42,3.23,1,,2,2,1.00,0,1,6
4,1968,4,1968-09-29,24-224,CIN,,SDG,L 10-31,6,4,0.67,0,,2,11,5.50,0,0,0
5,1968,6,1968-10-13,24-238,CIN,@,KAN,L 3-13,6,10,1.67,0,,2,4,2.00,0,0,0
6,1968,7,1968-10-20,24-245,CIN,,MIA,L 22-24,11,40,3.64,0,,2,10,5.00,0,0,0
7,1968,8,1968-10-27,24-252,CIN,@,OAK,L 10-31,6,-4,-0.67,0,,3,9,3.00,0,0,0
8,1968,9,1968-11-03,24-259,CIN,,HOU,L 17-27,0,0,,0,,1,5,5.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
9,1969,1,1969-09-14,25-208,DEN,,BOS,W 35-7,5,9,1.80,1,,1,17,17.00,1,2,12
10,1969,2,1969-09-21,25-215,DEN,,NYJ,W 21-19,3,-1,-0.33,0,,3,14,4.67,0,0,0
11,1969,3,1969-09-28,25-222,DEN,@,BUF,L 28-41,5,10,2.00,1,,0,0,,0,1,6
12,1969,4,1969-10-05,25-229,DEN,,KAN,L 13-26,4,12,3.00,0,,0,0,,0,0,0
13,1969,5,1969-10-12,25-236,DEN,,OAK,L 14-24,6,23,3.83,0,,0,0,,0,0,0
14,1969,6,1969-10-19,25-243,DEN,@,CIN,W 30-23,11,33,3.00,0,,0,0,,0,0,0
15,1969,7,1969-10-26,25-250,DEN,@,HOU,L 21-24,4,28,7.00,1,,0,0,,0,1,6
16,1969,9,1969-11-09,25-264,DEN,@,OAK,L 10-41,10,27,2.70,0,,1,-8,-8.00,0,0,0
17,1969,10,1969-11-16,25-271,DEN,,HOU,T 20-20,8,25,3.13,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
18,1970,10,1970-11-22,26-277,HOU,@,CLE,L 14-28,1,0,0.00,0,,0,0,,0,0,0
,,,18 Games,,,,,5-12-1,120,312,2.60,4,,24,109,4.54,1,5,30
