
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2007,1,2007-09-09,22-268,KAN,@,HOU,L 3-20,0,0,,0,,0,0,,0,0,0,0.0,0,0
2,2007,2,2007-09-16,22-275,KAN,@,CHI,L 10-20,0,0,,0,,0,0,,0,0,0,0.0,0,0
3,2007,3,2007-09-23,22-282,KAN,,MIN,W 13-10,0,0,,0,,0,0,,0,0,0,0.0,0,0
4,2007,4,2007-09-30,22-289,KAN,@,SDG,W 30-16,0,0,,0,,0,0,,0,0,0,0.0,0,0
5,2007,5,2007-10-07,22-296,KAN,,JAX,L 7-17,0,0,,0,,2,21,10.50,0,0,0,0.0,0,0
6,2007,6,2007-10-14,22-303,KAN,,CIN,W 27-20,0,0,,0,,0,0,,0,0,0,0.0,0,0
7,2007,7,2007-10-21,22-310,KAN,@,OAK,W 12-10,0,0,,0,,0,0,,0,0,0,0.0,0,0
8,2007,8,2007-11-04,22-324,KAN,,GNB,L 22-33,0,0,,0,,0,0,,0,0,0,0.0,0,0
9,2007,9,2007-11-11,22-331,KAN,,DEN,L 11-27,2,2,1.00,0,3,2,7,3.50,0,0,0,0.0,0,0
10,2007,10,2007-11-18,22-338,KAN,@,IND,L 10-13,8,17,2.13,0,,3,34,11.33,0,0,0,0.0,0,0
11,2007,11,2007-11-25,22-345,KAN,,OAK,L 17-20,31,150,4.84,2,,1,2,2.00,0,2,12,0.0,0,0
12,2007,12,2007-12-02,22-352,KAN,,SDG,L 10-24,21,83,3.95,0,2,2,1,0.50,0,0,0,0.0,0,0
13,2007,13,2007-12-09,22-359,KAN,@,DEN,L 7-41,13,12,0.92,0,,1,-2,-2.00,0,0,0,0.0,0,0
14,2007,14,2007-12-16,23-001,KAN,,TEN,L 17-26,18,82,4.56,0,0,3,23,7.67,0,0,0,0.0,0,0
15,2007,15,2007-12-23,23-008,KAN,@,DET,L 20-25,17,60,3.53,0,,7,55,7.86,0,0,0,0.0,0,0
16,2007,16,2007-12-30,23-015,KAN,@,NYJ,L 10-13,2,1,0.50,0,,1,7,7.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2008,2,2008-09-14,23-274,KAN,,OAK,L 8-23,1,3,3.00,0,5,4,19,4.75,0,0,0,0.0,0,0
18,2008,3,2008-09-21,23-281,KAN,@,ATL,L 14-38,1,7,7.00,0,1,1,8,8.00,0,0,0,0.0,0,0
19,2008,4,2008-09-28,23-288,KAN,,DEN,W 33-19,2,9,4.50,0,0,0,0,,0,0,0,0.0,0,1
20,2008,5,2008-10-05,23-295,KAN,@,CAR,L 0-34,0,0,,0,1,1,5,5.00,0,0,0,0.0,1,0
21,2008,6,2008-10-19,23-309,KAN,,TEN,L 10-34,10,20,2.00,0,2,2,5,2.50,0,0,0,0.0,0,0
22,2008,7,2008-10-26,23-316,KAN,@,NYJ,L 24-28,11,15,1.36,0,2,2,15,7.50,0,0,0,0.0,0,0
23,2008,8,2008-11-02,23-323,KAN,,TAM,L 27-30,10,46,4.60,1,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
24,2009,8,2009-11-08,24-328,KAN,@,JAX,L 21-24,4,17,4.25,0,1,1,4,4.00,0,0,0,0.0,0,0
25,2009,9,2009-11-15,24-335,KAN,@,OAK,W 16-10,9,12,1.33,0,0,0,0,,0,0,0,0.0,0,0
26,2009,10,2009-11-22,24-342,KAN,,PIT,W 27-24,1,3,3.00,0,0,0,0,,0,0,0,0.0,0,0
27,2009,11,2009-11-29,24-349,KAN,@,SDG,L 14-43,1,1,1.00,0,1,1,5,5.00,0,0,0,0.0,0,0
,,,27 Games,,,,,7-20-0,162,540,3.33,3,18,34,209,6.15,0,3,18,0.0,1,1
