
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1993,1,1993-09-05,21-185,MIN,@,RAI,L 7-24,2,6,3.00,0,2,1,1,1.00,0,2,29,14.50,0,0,0,,0,0,0
2,1993,2,1993-09-12,21-192,MIN,,CHI,W 10-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,0,,
3,1993,3,1993-09-26,21-206,MIN,,GNB,W 15-13,0,0,,0,,0,0,,0,0,0,,0,0,0,,0,,
4,1993,4,1993-10-03,21-213,MIN,@,SFO,L 19-38,0,0,,0,4,4,16,4.00,0,1,12,12.00,0,0,0,,0,0,0
5,1993,5,1993-10-10,21-220,MIN,,TAM,W 15-0,8,64,8.00,0,4,3,16,5.33,0,0,0,,0,0,0,,0,0,0
6,1993,6,1993-10-25,21-235,MIN,@,CHI,W 19-12,14,80,5.71,1,4,3,8,2.67,0,0,0,,0,0,0,,0,1,6
7,1993,7,1993-10-31,21-241,MIN,,DET,L 27-30,23,115,5.00,1,6,4,20,5.00,0,0,0,,0,0,0,,0,1,6
8,1993,8,1993-11-07,21-248,MIN,,SDG,L 17-30,3,5,1.67,0,4,2,12,6.00,0,0,0,,0,0,0,,0,0,0
9,1993,11,1993-11-28,21-269,MIN,,NOR,L 14-17,24,94,3.92,0,5,4,24,6.00,0,0,0,,0,1,4,4.00,0,0,0
10,1993,12,1993-12-05,21-276,MIN,@,DET,W 13-0,8,35,4.38,0,3,3,14,4.67,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
11,1994,2,1994-09-11,22-191,MIN,,DET,W 10-3,1,7,7.00,0,4,4,23,5.75,0,0,0,,0,0,0,,0,0,0
12,1994,3,1994-09-18,22-198,MIN,@,CHI,W 42-14,6,35,5.83,1,3,2,10,5.00,0,0,0,,0,0,0,,0,1,6
13,1994,4,1994-09-25,22-205,MIN,,MIA,W 38-35,3,4,1.33,0,2,1,2,2.00,0,2,33,16.50,0,0,0,,0,0,0
14,1994,6,1994-10-10,22-220,MIN,@,NYG,W 27-10,5,17,3.40,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
15,1994,7,1994-10-20,22-230,MIN,,GNB,W 13-10,2,0,0.00,0,2,2,16,8.00,0,0,0,,0,0,0,,0,0,0
16,1994,8,1994-10-30,22-240,MIN,@,TAM,W 36-13,2,2,1.00,0,2,2,15,7.50,0,0,0,,0,0,0,,0,0,0
17,1994,9,1994-11-06,22-247,MIN,,NOR,W 21-20,2,5,2.50,0,1,1,5,5.00,0,0,0,,0,0,0,,0,0,0
18,1994,10,1994-11-13,22-254,MIN,@,NWE,L 20-26,5,12,2.40,0,0,0,0,,0,0,0,,0,0,0,,0,0,0
19,1994,11,1994-11-20,22-261,MIN,,NYJ,L 21-31,0,0,,0,1,0,0,,0,2,63,31.50,0,0,0,,0,0,0
20,1994,12,1994-11-27,22-268,MIN,,TAM,L 17-20,2,6,3.00,0,1,1,12,12.00,0,1,21,21.00,0,0,0,,0,0,0
21,1994,13,1994-12-01,22-272,MIN,,CHI,W 33-27,0,0,,0,1,0,0,,0,0,0,,0,,,,,,
22,1994,14,1994-12-11,22-282,MIN,@,BUF,W 21-17,0,0,,0,0,0,0,,0,3,61,20.33,0,0,0,,0,0,0
23,1994,15,1994-12-17,22-288,MIN,@,DET,L 19-41,2,12,6.00,0,2,2,22,11.00,0,7,216,30.86,0,0,0,,0,0,0
24,1994,16,1994-12-26,22-297,MIN,,SFO,W 21-14,1,6,6.00,0,0,0,0,,0,1,25,25.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
25,1995,1,1995-09-03,23-183,MIN,@,CHI,L 14-31,12,66,5.50,1,0,0,0,,0,0,0,,0,0,0,,0,1,6
26,1995,2,1995-09-10,23-190,MIN,,DET,W 20-10,20,111,5.55,1,3,2,6,3.00,0,0,0,,0,0,0,,0,1,6
27,1995,3,1995-09-17,23-197,MIN,,DAL,L 17-23,17,73,4.29,0,3,1,1,1.00,0,0,0,,0,0,0,,0,0,0
28,1995,4,1995-09-24,23-204,MIN,@,PIT,W 44-24,15,115,7.67,1,1,1,6,6.00,0,0,0,,0,0,0,,0,1,6
29,1995,5,1995-10-08,23-218,MIN,,HOU,W 23-17,20,63,3.15,1,2,1,7,7.00,0,0,0,,0,0,0,,0,1,6
