
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1964,1,1964-09-12,23-025,NYJ,,DEN,W 30-6,22,82,3.73,1,,3,19,6.33,0,0,0,,0,0,0,,,,0,0,,0,1,6
2,1964,2,1964-09-27,23-040,NYJ,@,BOS,L 10-26,16,43,2.69,0,,3,20,6.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1964,3,1964-10-03,23-046,NYJ,,SDG,T 17-17,7,17,2.43,0,,8,79,9.88,0,0,0,,0,0,0,,,,0,0,,0,0,0
4,1964,4,1964-10-10,23-053,NYJ,,OAK,W 35-13,26,168,6.46,2,,0,0,,0,0,0,,0,0,0,,,,1,19,19.00,0,2,12
5,1964,5,1964-10-17,23-060,NYJ,,HOU,W 24-21,31,180,5.81,0,,1,8,8.00,0,0,0,,0,0,0,,,,2,40,20.00,0,0,0
6,1964,6,1964-10-24,23-067,NYJ,@,BUF,L 24-34,12,28,2.33,0,,6,48,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1964,7,1964-10-31,23-074,NYJ,,BOS,W 35-14,11,46,4.18,0,,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
8,1964,8,1964-11-08,23-082,NYJ,,BUF,L 7-20,6,15,2.50,0,,6,46,7.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1964,9,1964-11-15,23-089,NYJ,@,DEN,L 16-20,10,71,7.10,0,,4,45,11.25,0,0,1,0.00,0,0,1,0.0,0.00,-45.00,0,0,,0,0,0
10,1964,10,1964-11-22,23-096,NYJ,@,OAK,L 26-35,13,65,5.00,0,,7,17,2.43,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1964,11,1964-11-29,23-103,NYJ,,KAN,W 27-14,15,55,3.67,0,,4,48,12.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
12,1964,12,1964-12-06,23-110,NYJ,@,SDG,L 3-38,8,24,3.00,0,,4,-1,-0.25,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1964,13,1964-12-13,23-117,NYJ,@,HOU,L 17-33,21,51,2.43,1,,3,28,9.33,0,0,0,,0,0,0,,,,2,50,25.00,0,1,6
14,1964,14,1964-12-20,23-124,NYJ,@,KAN,L 7-24,16,103,6.44,1,,5,29,5.80,0,0,0,,0,0,0,,,,2,49,24.50,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
15,1965,1,1965-09-12,24-025,NYJ,@,HOU,L 21-27,16,102,6.38,1,,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
16,1965,2,1965-09-18,24-031,NYJ,,KAN,L 10-14,19,82,4.32,0,,4,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
17,1965,3,1965-09-26,24-039,NYJ,@,BUF,L 21-33,7,31,4.43,0,,3,64,21.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
18,1965,4,1965-10-03,24-046,NYJ,@,DEN,L 13-16,13,43,3.31,0,,5,48,9.60,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1965,5,1965-10-16,24-059,NYJ,,OAK,T 24-24,6,27,4.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1965,6,1965-10-23,24-066,NYJ,,SDG,L 9-34,15,69,4.60,0,,2,40,20.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,1965,7,1965-10-31,24-074,NYJ,,DEN,W 45-10,19,74,3.89,1,,3,13,4.33,0,0,0,,0,0,0,,,,0,0,,0,1,6
22,1965,8,1965-11-07,24-081,NYJ,@,KAN,W 13-10,8,31,3.88,0,,5,33,6.60,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1965,9,1965-11-14,24-088,NYJ,@,BOS,W 30-20,15,34,2.27,1,,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
24,1965,10,1965-11-21,24-095,NYJ,,HOU,W 41-14,18,132,7.33,0,,3,11,3.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1965,11,1965-11-28,24-102,NYJ,,BOS,L 23-27,15,54,3.60,1,,1,10,10.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
26,1965,12,1965-12-04,24-108,NYJ,@,SDG,L 7-38,7,28,4.00,0,,7,34,4.86,0,0,0,,0,0,0,,,,0,0,,0,0,0
27,1965,13,1965-12-12,24-116,NYJ,@,OAK,L 14-24,11,56,5.09,0,,2,-7,-3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
28,1966,1,1966-09-09,25-022,NYJ,@,MIA,W 19-14,14,31,2.21,0,,1,19,19.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1966,2,1966-09-18,25-031,NYJ,,HOU,W 52-13,15,67,4.47,0,,2,28,14.00,1,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,6
30,1966,3,1966-09-25,25-038,NYJ,@,DEN,W 16-7,20,49,2.45,0,,3,25,8.33,1,0,0,,0,0,0,,,,0,0,,0,1,6
31,1966,4,1966-10-02,25-045,NYJ,@,BOS,T 24-24,13,25,1.92,1,,7,52,7.43,1,0,0,,0,0,0,,,,0,0,,0,2,12
32,1966,5,1966-10-08,25-051,NYJ,,SDG,W 17-16,18,78,4.33,0,,2,10,5.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
33,1966,6,1966-10-16,25-059,NYJ,@,HOU,L 0-24,9,22,2.44,0,,7,50,7.14,0,0,0,,0,0,0,,,,0,0,,0,0,0
34,1966,7,1966-10-23,25-066,NYJ,,OAK,L 21-24,19,76,4.00,1,,7,83,11.86,0,0,0,,0,0,0,,,,0,0,,0,1,6
35,1966,8,1966-10-30,25-073,NYJ,,BUF,L 23-33,3,4,1.33,0,,4,31,7.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1966,9,1966-11-13,25-087,NYJ,@,BUF,L 3-14,12,19,1.58,0,,5,16,3.20,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1966,12,1966-12-03,25-107,NYJ,@,OAK,T 28-28,15,47,3.13,0,,3,2,0.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
38,1966,13,1966-12-11,25-115,NYJ,@,SDG,L 27-42,18,102,5.67,1,,3,-6,-2.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
39,1966,14,1966-12-17,25-121,NYJ,,BOS,W 38-28,22,124,5.64,1,,4,36,9.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
40,1967,1,1967-09-10,26-023,NYJ,@,BUF,L 17-20,19,95,5.00,0,,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1967,9,1967-11-12,26-086,NYJ,,BUF,W 20-10,6,12,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
