
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2009,8,2009-11-08,22-324,CAR,@,NOR,L 20-30,3,15,5.00,0,1,1,11,11.00,0,0,0,,0,0.0,0,0
2,2009,9,2009-11-15,22-331,CAR,,ATL,W 28-19,,,,,,,,,,,,,,,,
3,2009,10,2009-11-19,22-335,CAR,,MIA,L 17-24,0,0,,0,3,2,18,9.00,0,4,106,26.50,0,0.0,0,0
4,2009,11,2009-11-29,22-345,CAR,@,NYJ,L 6-17,0,0,,0,1,0,0,,0,3,58,19.33,0,0.0,0,0
5,2009,12,2009-12-06,22-352,CAR,,TAM,W 16-6,6,38,6.33,0,2,0,0,,0,1,18,18.00,0,0.0,0,0
6,2009,13,2009-12-13,22-359,CAR,@,NWE,L 10-20,1,6,6.00,0,2,2,21,10.50,0,5,96,19.20,0,0.0,0,0
7,2009,14,2009-12-20,23-001,CAR,,MIN,W 26-7,2,9,4.50,0,2,1,12,12.00,0,1,24,24.00,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
8,2010,2,2010-09-19,23-274,CAR,,TAM,L 7-20,,,,,,,,,,,,,,,,
9,2010,3,2010-09-26,23-281,CAR,,CIN,L 7-20,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,2
10,2010,7,2010-10-31,23-316,CAR,@,STL,L 10-20,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,0
11,2010,8,2010-11-07,23-323,CAR,,NOR,L 3-34,7,41,5.86,0,3,3,15,5.00,0,0,0,,0,0.0,0,0
12,2010,12,2010-12-05,23-351,CAR,@,SEA,L 14-31,4,17,4.25,0,3,3,14,4.67,0,1,12,12.00,0,0.0,0,0
13,2010,13,2010-12-12,23-358,CAR,,ATL,L 10-31,0,0,,0,3,3,20,6.67,0,0,0,,0,0.0,0,0
14,2010,14,2010-12-19,24-000,CAR,,ARI,W 19-12,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,0
15,2010,15,2010-12-23,24-004,CAR,@,PIT,L 3-27,0,0,,0,,0,0,,0,0,0,,0,0.0,0,2
16,2010,16,2011-01-02,24-014,CAR,@,ATL,L 10-31,2,13,6.50,0,3,3,21,7.00,0,1,18,18.00,0,0.0,0,0
,,,16 Games,,,,,4-12-0,25,139,5.56,0,23,18,132,7.33,0,16,332,20.75,0,0.0,0,4
