
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1990,1,1990-09-09,22-337,NYJ,@,CIN,L 20-25,5,13,2.60,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
2,1990,2,1990-09-16,22-344,NYJ,,CLE,W 24-21,6,46,7.67,0,,1,55,55.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1990,3,1990-09-24,22-352,NYJ,,BUF,L 7-30,6,31,5.17,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
4,1990,4,1990-09-30,22-358,NYJ,@,NWE,W 37-13,20,100,5.00,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
5,1990,5,1990-10-07,23-000,NYJ,@,MIA,L 16-20,14,62,4.43,0,,4,32,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
6,1990,6,1990-10-14,23-007,NYJ,,SDG,L 3-39,3,10,3.33,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1990,7,1990-10-21,23-014,NYJ,@,BUF,L 27-30,8,28,3.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
8,1990,8,1990-10-28,23-021,NYJ,@,HOU,W 17-12,9,36,4.00,0,,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1990,9,1990-11-04,23-028,NYJ,,DAL,W 24-9,5,23,4.60,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
10,1990,10,1990-11-11,23-035,NYJ,,MIA,L 3-17,5,26,5.20,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1990,11,1990-11-18,23-042,NYJ,@,IND,L 14-17,8,28,3.50,0,,8,82,10.25,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1990,13,1990-12-02,23-056,NYJ,@,SDG,L 17-38,7,23,3.29,0,,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1990,14,1990-12-16,23-070,NYJ,,IND,L 21-29,9,63,7.00,0,,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
14,1990,15,1990-12-23,23-077,NYJ,,NWE,W 42-7,12,88,7.33,0,,1,6,6.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
15,1990,16,1990-12-30,23-084,NYJ,@,TAM,W 16-14,6,43,7.17,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
16,1991,1,1991-09-01,23-329,NYJ,,TAM,W 16-13,23,92,4.00,0,,1,16,16.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
17,1991,2,1991-09-08,23-336,NYJ,@,SEA,L 13-20,3,25,8.33,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
18,1991,3,1991-09-15,23-343,NYJ,,BUF,L 20-23,12,42,3.50,0,,4,24,6.00,1,0,0,,0,0,0,,,,0,0,,0,1,6
19,1991,4,1991-09-23,23-351,NYJ,@,CHI,L 13-19,27,125,4.63,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1991,5,1991-09-29,23-357,NYJ,,MIA,W 41-23,15,67,4.47,0,,2,11,5.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,1991,6,1991-10-06,23-364,NYJ,@,CLE,W 17-14,8,13,1.63,0,,4,17,4.25,0,1,1,100.00,16,1,0,158.3,16.00,36.00,0,0,,0,0,0
22,1991,7,1991-10-13,24-006,NYJ,,HOU,L 20-23,9,9,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1991,8,1991-10-20,24-013,NYJ,@,IND,W 17-6,12,43,3.58,0,,2,18,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
24,1991,9,1991-11-03,24-027,NYJ,,GNB,W 19-16,15,50,3.33,0,,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1991,10,1991-11-10,24-034,NYJ,,IND,L 27-28,11,58,5.27,0,,2,25,12.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
26,1991,11,1991-11-17,24-041,NYJ,@,NWE,W 28-21,6,19,3.17,0,,3,20,6.67,0,0,0,,0,0,0,,,,0,0,,0,0,0
27,1991,12,1991-11-24,24-048,NYJ,,SDG,W 24-3,15,76,5.07,2,,4,25,6.25,0,0,0,,0,0,0,,,,0,0,,0,2,12
28,1991,13,1991-12-01,24-055,NYJ,@,BUF,L 13-24,15,52,3.47,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1991,14,1991-12-08,24-062,NYJ,@,DET,L 20-34,5,18,3.60,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
30,1991,15,1991-12-15,24-069,NYJ,,NWE,L 3-6,10,24,2.40,0,,4,18,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1991,16,1991-12-22,24-076,NYJ,@,MIA,W 23-20,3,15,5.00,0,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
32,1992,1,1992-09-06,24-335,NYJ,@,ATL,L 17-20,9,17,1.89,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
33,1992,2,1992-09-13,24-342,NYJ,@,PIT,L 10-27,10,49,4.90,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
34,1992,3,1992-09-20,24-349,NYJ,,SFO,L 14-31,9,41,4.56,0,3,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
35,1992,4,1992-09-27,24-356,NYJ,@,RAM,L 10-18,12,69,5.75,0,2,2,14,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1992,5,1992-10-04,24-363,NYJ,,NWE,W 30-21,13,71,5.46,0,1,1,8,8.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1992,6,1992-10-11,25-004,NYJ,@,IND,L 3-6,15,49,3.27,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
38,1992,7,1992-10-26,25-019,NYJ,,BUF,L 20-24,20,88,4.40,0,2,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
39,1992,9,1992-11-08,25-032,NYJ,@,DEN,L 16-27,7,51,7.29,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
40,1992,12,1992-11-29,25-053,NYJ,,KAN,L 7-23,2,5,2.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
41,1993,1,1993-09-05,25-333,NYJ,,DEN,L 20-26,9,44,4.89,0,3,3,9,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
42,1993,2,1993-09-12,25-340,NYJ,@,MIA,W 24-14,10,29,2.90,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
