
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1982,1,1982-09-12,25-198,HOU,@,CIN,L 6-27,,0,0,,0,0,0,,0
2,1982,2,1982-09-19,25-205,HOU,,SEA,W 23-21,,1,8,8.00,0,0,0,,0
3,1982,3,1982-11-21,25-268,HOU,,PIT,L 10-24,,0,0,,0,0,0,,0
4,1982,4,1982-11-28,25-275,HOU,@,NWE,L 21-29,,0,0,,0,1,7,7.00,0
5,1982,5,1982-12-05,25-282,HOU,@,NYG,L 14-17,,0,0,,0,0,0,,0
6,1982,6,1982-12-13,25-290,HOU,,DAL,L 7-37,,0,0,,0,0,0,,0
7,1982,7,1982-12-19,25-296,HOU,@,PHI,L 14-35,,0,0,,0,0,0,,0
8,1982,8,1982-12-26,25-303,HOU,,CLE,L 14-20,,0,0,,0,0,0,,0
9,1982,9,1983-01-02,25-310,HOU,,CIN,L 27-35,,0,0,,0,0,0,,0
,,,9 Games,,,,,1-8-0,,1,8,8.00,0,1,7,7.00,0
