
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
1,1962,1,1962-09-16,22-130,STL,@,PHI,W 27-21,2,12,6.00,0,,0,0,,0,1,25,25.00,0,0,0,0,0,0
2,1962,2,1962-09-23,22-137,STL,@,GNB,L 0-17,0,0,,0,,0,0,,0,1,25,25.00,0,0,0,0,0,0
3,1962,3,1962-09-30,22-144,STL,@,WAS,L 14-24,0,0,,0,,0,0,,0,3,90,30.00,0,0,0,0,0,0
4,1962,4,1962-10-07,22-151,STL,,NYG,L 14-31,0,0,,0,,0,0,,0,1,25,25.00,0,0,0,0,0,0
5,1962,5,1962-10-14,22-158,STL,,WAS,T 17-17,0,0,,0,,0,0,,0,2,46,23.00,0,0,0,0,0,0
6,1962,6,1962-10-21,22-165,STL,,CLE,L 7-34,0,0,,0,,0,0,,0,1,24,24.00,0,0,0,0,0,0
7,1962,7,1962-10-28,22-172,STL,@,DAL,W 28-24,0,0,,0,,0,0,,0,2,77,38.50,0,0,0,0,0,0
8,1962,8,1962-11-04,22-179,STL,@,NYG,L 28-31,0,0,,0,,0,0,,0,1,25,25.00,0,0,0,0,0,0
9,1962,9,1962-11-11,22-186,STL,,PIT,L 17-26,0,0,,0,,0,0,,0,2,44,22.00,0,0,0,0,0,0
10,1962,10,1962-11-18,22-193,STL,@,CLE,L 14-38,0,0,,0,,0,0,,0,2,48,24.00,0,0,0,0,0,0
11,1962,12,1962-12-02,22-207,STL,@,PIT,L 7-19,0,0,,0,,0,0,,0,2,50,25.00,0,0,0,0,0,0
12,1962,13,1962-12-09,22-214,STL,,DAL,W 52-20,0,0,,0,,0,0,,0,2,55,27.50,0,0,0,1,24,0
13,1962,14,1962-12-16,22-221,STL,,PHI,W 45-35,0,0,,0,,0,0,,0,4,74,18.50,0,0,0,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
14,1963,1,1963-09-14,23-128,STL,@,DAL,W 34-7,12,82,6.83,0,,2,51,25.50,0,0,0,,0,0,0,0,0,0
15,1963,2,1963-09-22,23-136,STL,@,PHI,W 28-24,10,44,4.40,1,,3,17,5.67,0,0,0,,0,1,6,0,0,0
16,1963,3,1963-09-29,23-143,STL,@,PIT,L 10-23,12,73,6.08,1,,4,38,9.50,0,1,18,18.00,0,1,6,0,0,0
17,1963,4,1963-10-06,23-150,STL,@,MIN,W 56-14,9,43,4.78,1,,2,26,13.00,1,1,18,18.00,0,2,12,0,0,0
18,1963,5,1963-10-13,23-157,STL,,PIT,W 24-23,9,49,5.44,0,,2,21,10.50,0,4,33,8.25,0,0,0,0,0,0
19,1963,6,1963-10-20,23-164,STL,,GNB,L 7-30,5,20,4.00,0,,2,38,19.00,0,6,123,20.50,0,0,0,0,0,0
20,1963,7,1963-10-27,23-171,STL,@,WAS,W 21-7,8,28,3.50,0,,3,45,15.00,0,0,0,,0,0,0,0,0,0
21,1963,8,1963-11-03,23-178,STL,,NYG,L 21-38,14,85,6.07,1,,1,16,16.00,0,1,10,10.00,0,1,6,0,0,0
22,1963,10,1963-11-17,23-192,STL,@,CLE,W 20-14,6,9,1.50,0,,7,64,9.14,1,0,0,,0,1,6,0,0,0
23,1963,11,1963-11-24,23-199,STL,@,NYG,W 24-17,19,59,3.11,1,,0,0,,0,0,0,,0,1,6,0,0,0
24,1963,12,1963-12-01,23-206,STL,,CLE,L 10-24,16,102,6.38,0,,0,0,,0,0,0,,0,0,0,0,0,0
25,1963,13,1963-12-08,23-213,STL,,PHI,W 38-14,4,7,1.75,0,,2,27,13.50,0,0,0,,0,0,0,0,0,0
26,1963,14,1963-12-15,23-220,STL,,DAL,L 24-28,10,51,5.10,0,,3,53,17.67,1,1,27,27.00,0,1,6,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Int,Yds,TD
27,1965,1,1965-09-19,25-133,STL,@,PHI,L 27-34,6,16,2.67,0,,4,42,10.50,0,0,0,,0,0,0,0,0,0
28,1965,2,1965-09-26,25-140,STL,@,CLE,W 49-13,8,22,2.75,1,,0,0,,0,0,0,,0,1,6,0,0,0
29,1965,3,1965-10-04,25-148,STL,,DAL,W 20-13,22,93,4.23,1,,1,13,13.00,0,0,0,,0,1,6,0,0,0
30,1965,4,1965-10-10,25-154,STL,@,WAS,W 37-16,11,33,3.00,1,,2,14,7.00,0,0,0,,0,1,6,0,0,0
31,1965,5,1965-10-17,25-161,STL,@,PIT,W 20-7,9,-7,-0.78,0,,0,0,,0,0,0,,0,0,0,0,0,0
32,1965,6,1965-10-24,25-168,STL,,WAS,L 20-24,11,27,2.45,1,,4,60,15.00,0,0,0,,0,1,6,0,0,0
33,1965,7,1965-10-31,25-175,STL,@,NYG,L 10-14,23,176,7.65,1,,1,8,8.00,0,0,0,,0,1,6,0,0,0
34,1965,8,1965-11-07,25-182,STL,,PIT,W 21-17,12,37,3.08,1,,1,15,15.00,0,0,0,,0,1,6,0,0,0
35,1965,9,1965-11-14,25-189,STL,@,CHI,L 13-34,12,40,3.33,0,,2,41,20.50,0,0,0,,0,0,0,0,0,0
