
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1992,1,1992-09-13,23-093,NWE,@,RAM,L 0-14,,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
2,1992,2,1992-09-20,23-100,NWE,,SEA,L 6-10,1,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1992,3,1992-09-27,23-107,NWE,,BUF,L 7-41,1,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
4,1992,4,1992-10-04,23-114,NWE,@,NYJ,L 21-30,1,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,,,1,11,11.00,0,0,0
5,1992,5,1992-10-11,23-121,NWE,,SFO,L 12-24,1,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
6,1992,6,1992-10-18,23-128,NWE,@,MIA,L 17-38,1,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1992,7,1992-10-25,23-135,NWE,,CLE,L 17-19,3,2,31,15.50,1,2,5,2.50,0,0,0,,0,0,0,,,,0,0,,0,1,6
8,1992,8,1992-11-01,23-142,NWE,@,BUF,L 7-16,,0,0,,0,1,-1,-1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1992,9,1992-11-08,23-149,NWE,,NOR,L 14-31,,0,0,,0,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
10,1992,10,1992-11-15,23-156,NWE,@,IND,W 37-34,1,1,-1,-1.00,0,4,15,3.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1992,11,1992-11-22,23-163,NWE,,NYJ,W 24-3,,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
12,1992,12,1992-11-29,23-170,NWE,@,ATL,L 0-34,,0,0,,0,2,10,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1992,13,1992-12-06,23-177,NWE,,IND,L 0-6,,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
14,1992,14,1992-12-13,23-184,NWE,@,KAN,L 20-27,2,1,6,6.00,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
15,1992,15,1992-12-20,23-191,NWE,@,CIN,L 10-20,,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
16,1992,16,1992-12-27,23-198,NWE,,MIA,L 13-16,,0,0,,0,0,0,,0,,,,,,,,,,0,0,,0,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
