
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2004,1,2004-09-12,22-212,SDG,@,HOU,W 27-20,,,,,,,,,,,,,,,,,,
2,2004,2,2004-09-19,22-219,SDG,,NYJ,L 28-34,,,,,,,,,,,,,,,,,,
3,2004,3,2004-09-26,22-226,SDG,@,DEN,L 13-23,,,,,0,,,,,,,,,,,,,
4,2004,4,2004-10-03,22-233,SDG,,TEN,W 38-17,,,,,,,,,,,,,,,,,,
5,2004,5,2004-10-10,22-240,SDG,,JAX,W 34-21,,,,,,,,,,,,,,,,,,
6,2004,6,2004-10-17,22-247,SDG,@,ATL,L 20-21,,,,,,,,,,,,,,,,,,
7,2004,7,2004-10-24,22-254,SDG,@,CAR,W 17-6,,,,,,,,,,,,,,,,,,
8,2004,8,2004-10-31,22-261,SDG,,OAK,W 42-14,,,,,,,,,,,,,,,,,,
9,2004,9,2004-11-07,22-268,SDG,,NOR,W 43-17,5,17,3.40,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2004,10,2004-11-21,22-282,SDG,@,OAK,W 23-17,,,,,,,,,,,,,,,,,,
11,2004,11,2004-11-28,22-289,SDG,@,KAN,W 34-31,,,,,,,,,,,,,,,,,,
12,2004,14,2004-12-19,22-310,SDG,@,CLE,W 21-0,,,,,0,,,,,,,,,,,,,
13,2004,15,2004-12-26,22-317,SDG,@,IND,L 31-34,0,0,,0,0,0,0,,0,1,18,18.00,0,0,0,0.0,0,0
14,2004,16,2005-01-02,22-324,SDG,,KAN,W 24-17,15,87,5.80,0,5,4,8,2.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
15,2005,1,2005-09-11,23-210,SDG,,DAL,L 24-28,2,7,3.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2005,2,2005-09-18,23-217,SDG,@,DEN,L 17-20,1,6,6.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2005,3,2005-09-25,23-224,SDG,,NYG,W 45-23,7,12,1.71,0,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
18,2005,4,2005-10-02,23-231,SDG,@,NWE,W 41-17,11,44,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2005,5,2005-10-10,23-239,SDG,,PIT,L 22-24,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2005,6,2005-10-16,23-245,SDG,@,OAK,W 27-14,7,50,7.14,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2005,7,2005-10-23,23-252,SDG,@,PHI,L 17-20,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2005,8,2005-10-30,23-259,SDG,,KAN,W 28-20,0,0,,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2005,9,2005-11-06,23-266,SDG,@,NYJ,W 31-26,4,18,4.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2005,10,2005-11-20,23-280,SDG,,BUF,W 48-10,8,48,6.00,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
25,2005,11,2005-11-27,23-287,SDG,@,WAS,W 23-17,0,0,,0,,0,0,,0,0,0,,0,0,0,0.0,0,0
26,2005,12,2005-12-04,23-294,SDG,,OAK,W 34-10,7,34,4.86,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
27,2005,13,2005-12-11,23-301,SDG,,MIA,L 21-23,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2005,14,2005-12-18,23-308,SDG,@,IND,W 26-17,8,113,14.13,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
29,2005,15,2005-12-24,23-314,SDG,@,KAN,L 7-20,0,0,,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2005,16,2005-12-31,23-321,SDG,,DEN,L 7-23,1,-1,-1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
31,2006,1,2006-09-11,24-210,SDG,@,OAK,W 27-0,10,37,3.70,1,0,0,0,,0,1,20,20.00,0,1,6,0.0,0,0
32,2006,2,2006-09-17,24-216,SDG,,TEN,W 40-7,13,138,10.62,0,2,2,17,8.50,0,2,26,13.00,0,0,0,0.0,0,0
33,2006,3,2006-10-01,24-230,SDG,@,BAL,L 13-16,7,46,6.57,0,0,0,0,,0,2,63,31.50,0,0,0,0.0,0,0
34,2006,4,2006-10-08,24-237,SDG,,PIT,W 23-13,11,56,5.09,0,0,0,0,,0,2,66,33.00,0,0,0,0.0,0,0
35,2006,5,2006-10-15,24-244,SDG,@,SFO,W 48-19,1,0,0.00,0,0,0,0,,0,3,35,11.67,0,0,0,0.0,0,0
36,2006,6,2006-10-22,24-251,SDG,@,KAN,L 27-30,4,18,4.50,0,0,0,0,,0,2,47,23.50,0,0,0,0.0,0,0
37,2006,7,2006-10-29,24-258,SDG,,STL,W 38-24,5,28,5.60,1,0,0,0,,0,3,64,21.33,0,1,6,0.0,0,0
38,2006,8,2006-11-05,24-265,SDG,,CLE,W 32-25,2,21,10.50,0,0,0,0,,0,4,92,23.00,0,0,0,0.0,0,0
39,2006,9,2006-11-12,24-272,SDG,@,CIN,W 49-41,1,1,1.00,0,0,0,0,,0,6,188,31.33,0,0,0,0.0,0,0
40,2006,10,2006-11-19,24-279,SDG,@,DEN,W 35-27,4,12,3.00,0,0,0,0,,0,4,146,36.50,0,0,0,0.0,0,0
41,2006,14,2006-12-17,24-307,SDG,,KAN,W 20-9,7,58,8.29,0,0,0,0,,0,4,137,34.25,0,0,0,0.0,0,0
42,2006,15,2006-12-24,24-314,SDG,@,SEA,W 20-17,4,29,7.25,0,0,0,0,,0,3,70,23.33,0,0,0,0.0,0,0
43,2006,16,2006-12-31,24-321,SDG,,ARI,W 27-20,11,58,5.27,0,1,1,30,30.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
44,2007,1,2007-09-09,25-208,SDG,,CHI,W 14-3,10,41,4.10,0,0,0,0,,0,1,15,15.00,0,0,0,0.0,0,0
45,2007,2,2007-09-16,25-215,SDG,@,NWE,L 14-38,1,3,3.00,0,2,2,14,7.00,0,4,98,24.50,0,0,0,0.0,0,0
46,2007,3,2007-09-23,25-222,SDG,@,GNB,L 24-31,4,12,3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2007,4,2007-09-30,25-229,SDG,,KAN,L 16-30,2,-2,-1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
48,2007,5,2007-10-07,25-236,SDG,@,DEN,W 41-3,10,147,14.70,1,0,0,0,,0,0,0,,0,1,6,0.0,0,0
49,2007,6,2007-10-14,25-243,SDG,,OAK,W 28-14,5,8,1.60,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
50,2007,7,2007-10-28,25-257,SDG,,HOU,W 35-10,4,10,2.50,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
51,2007,8,2007-11-04,25-264,SDG,@,MIN,L 17-35,1,-3,-3.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2007,9,2007-11-11,25-271,SDG,,IND,W 23-21,0,0,,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2007,10,2007-11-18,25-278,SDG,@,JAX,L 17-24,0,0,,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2007,11,2007-11-25,25-285,SDG,,BAL,W 32-14,2,2,1.00,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
55,2007,12,2007-12-02,25-292,SDG,@,KAN,W 24-10,7,16,2.29,0,0,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2007,13,2007-12-09,25-299,SDG,@,TEN,W 23-17,2,1,0.50,0,0,0,0,,0,1,26,26.00,0,0,0,0.0,0,0
57,2007,14,2007-12-16,25-306,SDG,,DET,W 51-14,5,28,5.60,0,1,1,-6,-6.00,0,0,0,,0,0,0,0.0,0,0
58,2007,15,2007-12-24,25-314,SDG,,DEN,W 23-3,7,11,1.57,0,1,1,8,8.00,0,0,0,,0,0,0,0.0,0,0
59,2007,16,2007-12-30,25-320,SDG,@,OAK,W 30-17,11,42,3.82,0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
60,2008,1,2008-09-07,26-207,ATL,,DET,W 34-21,22,220,10.00,2,1,1,6,6.00,0,0,0,,0,2,12,0.0,0,0
61,2008,2,2008-09-14,26-214,ATL,@,TAM,L 9-24,14,42,3.00,0,1,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
