
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1968,1,1968-09-14,22-119,ATL,@,MIN,L 7-47,4,22,5.50,0,,1,-5,-5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
2,1968,2,1968-09-22,22-127,ATL,,BAL,L 20-28,8,29,3.63,0,,1,3,3.00,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0
3,1968,3,1968-09-29,22-134,ATL,@,SFO,L 13-28,4,8,2.00,0,,1,0,0.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
4,1968,4,1968-10-06,22-141,ATL,,GNB,L 7-38,5,17,3.40,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
5,1968,5,1968-10-13,22-148,ATL,,NYG,W 24-21,5,18,3.60,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
6,1968,6,1968-10-20,22-155,ATL,@,RAM,L 14-27,2,5,2.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1968,7,1968-10-27,22-162,ATL,@,CLE,L 7-30,0,0,,0,,1,7,7.00,0,1,1,100.00,21,0,0,118.7,21.00,21.00,0,0,,0,0,0
8,1968,10,1968-11-17,22-183,ATL,@,CHI,W 16-13,10,71,7.10,0,,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1968,11,1968-11-24,22-190,ATL,@,STL,L 12-17,4,7,1.75,0,,1,55,55.00,1,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,6
10,1968,12,1968-12-01,22-197,ATL,@,BAL,L 0-44,6,8,1.33,0,,9,56,6.22,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1968,13,1968-12-08,22-204,ATL,,DET,L 7-24,4,12,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1968,14,1968-12-15,22-211,ATL,,SFO,L 12-14,7,14,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
13,1969,1,1969-09-21,23-126,ATL,,SFO,W 24-12,3,-1,-0.33,0,,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
14,1969,2,1969-09-28,23-133,ATL,@,RAM,L 7-17,2,4,2.00,0,,0,0,,0,0,0,,0,0,0,,,,1,23,23.00,0,0,0
15,1969,3,1969-10-05,23-140,ATL,,BAL,L 14-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,1,1.00,0,0,0
16,1969,5,1969-10-19,23-154,ATL,@,SFO,W 21-7,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,14,14.00,0,0,0
17,1969,6,1969-10-26,23-161,ATL,@,GNB,L 10-28,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,3,3.00,0,0,0
18,1969,7,1969-11-02,23-168,ATL,,RAM,L 6-38,3,10,3.33,0,,2,58,29.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1969,8,1969-11-09,23-175,ATL,@,DET,L 21-27,5,14,2.80,0,,2,6,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1969,9,1969-11-16,23-182,ATL,,CHI,W 48-31,6,59,9.83,1,,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
21,1969,10,1969-11-23,23-189,ATL,@,WAS,L 20-27,9,23,2.56,0,,2,7,3.50,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0
22,1969,11,1969-11-30,23-196,ATL,@,BAL,L 6-13,7,46,6.57,0,,6,27,4.50,0,0,0,,0,0,0,,,,1,15,15.00,0,0,0
23,1969,12,1969-12-07,23-203,ATL,,NOR,W 45-17,7,87,12.43,1,,3,105,35.00,1,1,1,100.00,16,1,0,158.3,16.00,36.00,0,0,,0,2,12
24,1969,13,1969-12-14,23-210,ATL,@,PHI,W 27-3,10,83,8.30,0,,1,16,16.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1969,14,1969-12-21,23-217,ATL,,MIN,W 10-3,20,50,2.50,0,,3,-4,-1.33,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
26,1970,1,1970-09-20,24-125,ATL,@,NOR,W 14-3,5,21,4.20,0,,3,34,11.33,1,0,0,,0,0,0,,,,0,0,,0,1,6
27,1970,2,1970-09-27,24-132,ATL,@,GNB,L 24-27,10,54,5.40,0,,8,50,6.25,1,0,0,,0,0,0,,,,0,0,,0,1,6
28,1970,3,1970-10-04,24-139,ATL,,SFO,W 21-20,4,2,0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
29,1970,4,1970-10-11,24-146,ATL,@,DAL,L 0-13,10,23,2.30,0,,3,-1,-0.33,0,1,1,100.00,13,0,0,118.7,13.00,13.00,0,0,,0,0,0
30,1970,5,1970-10-18,24-153,ATL,@,DEN,L 10-24,6,12,2.00,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1970,6,1970-10-25,24-160,ATL,,NOR,W 32-14,14,46,3.29,1,,3,12,4.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
32,1970,7,1970-11-01,24-167,ATL,,CHI,L 14-23,11,47,4.27,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
33,1970,8,1970-11-08,24-174,ATL,@,RAM,T 10-10,12,32,2.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
34,1970,9,1970-11-15,24-181,ATL,@,PHI,T 13-13,6,8,1.33,0,,1,7,7.00,0,0,0,,0,0,0,,,,1,22,22.00,0,0,0
35,1970,11,1970-11-30,24-196,ATL,,MIA,L 7-20,9,25,2.78,0,,4,39,9.75,0,0,0,,0,0,0,,,,0,0,,0,0,0
36,1970,12,1970-12-06,24-202,ATL,@,SFO,L 20-24,15,68,4.53,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1970,13,1970-12-13,24-209,ATL,,PIT,W 27-16,13,74,5.69,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
38,1970,14,1970-12-20,24-216,ATL,,MIN,L 7-37,4,10,2.50,0,,2,4,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
39,1971,1,1971-09-19,25-124,ATL,,SFO,W 20-17,1,5,5.00,0,,1,19,19.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
40,1971,2,1971-09-26,25-131,ATL,@,RAM,T 20-20,0,0,,0,,1,35,35.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1971,3,1971-10-03,25-138,ATL,@,DET,L 38-41,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,21,21.00,0,0,0
42,1971,4,1971-10-10,25-145,ATL,,STL,L 9-26,0,0,,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
