
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1982,1,1982-09-12,21-364,NWE,@,BAL,W 24-13,13,47,3.62,1,,0,0,,0,0,0,,0,1,6
2,1982,2,1982-09-19,22-006,NWE,,NYJ,L 7-31,3,-1,-0.33,0,,3,24,8.00,0,0,0,,0,0,0
3,1982,4,1982-11-28,22-076,NWE,,HOU,W 29-21,1,9,9.00,0,,0,0,,0,0,0,,0,0,0
4,1982,5,1982-12-05,22-083,NWE,@,CHI,L 13-26,0,0,,0,,0,0,,0,,,,,,
5,1982,7,1982-12-19,22-097,NWE,@,SEA,W 16-0,6,30,5.00,0,,0,0,,0,0,0,,0,0,0
6,1982,9,1983-01-02,22-111,NWE,,BUF,W 30-19,1,-2,-2.00,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,1983,1,1983-09-04,22-356,NWE,,BAL,L 23-29,6,100,16.67,1,,1,7,7.00,0,0,0,,0,1,6
8,1983,2,1983-09-11,22-363,NWE,@,MIA,L 24-34,1,2,2.00,0,,1,5,5.00,0,0,0,,0,0,0
9,1983,3,1983-09-18,23-005,NWE,,NYJ,W 23-13,10,39,3.90,0,,2,14,7.00,0,0,0,,0,0,0
10,1983,4,1983-09-25,23-012,NWE,@,PIT,W 28-23,6,14,2.33,0,,1,2,2.00,0,0,0,,0,0,0
11,1983,5,1983-10-02,23-019,NWE,,SFO,L 13-33,2,11,5.50,0,,0,0,,0,3,68,22.67,0,0,0
12,1983,6,1983-10-09,23-026,NWE,@,BAL,L 7-12,14,48,3.43,0,,3,34,11.33,0,0,0,,0,0,0
13,1983,7,1983-10-16,23-033,NWE,,SDG,W 37-21,3,13,4.33,0,,3,16,5.33,0,0,0,,0,0,0
14,1983,8,1983-10-23,23-040,NWE,@,BUF,W 31-0,5,13,2.60,0,,4,47,11.75,0,0,0,,0,0,0
15,1983,9,1983-10-30,23-047,NWE,@,ATL,L 13-24,12,99,8.25,0,,5,55,11.00,0,0,0,,0,0,0
16,1983,10,1983-11-06,23-054,NWE,,BUF,W 21-7,0,0,,0,,0,0,,0,0,0,,0,,
17,1983,11,1983-11-13,23-061,NWE,,MIA,W 17-6,5,21,4.20,0,,1,16,16.00,0,0,0,,0,0,0
18,1983,12,1983-11-20,23-068,NWE,,CLE,L 0-30,2,8,4.00,0,,0,0,,0,0,0,,0,0,0
19,1983,13,1983-11-27,23-075,NWE,@,NYJ,L 3-26,3,34,11.33,0,,2,16,8.00,0,0,0,,0,0,0
20,1983,15,1983-12-11,23-089,NWE,@,RAM,W 21-7,1,6,6.00,0,,0,0,,0,0,0,,0,0,0
21,1983,16,1983-12-18,23-096,NWE,@,SEA,L 6-24,3,10,3.33,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
22,1985,1,1985-09-08,24-360,NWE,,GNB,W 26-20,5,15,3.00,0,,0,0,,0,0,0,,0,0,0
23,1985,2,1985-09-15,25-002,NWE,@,CHI,L 7-20,2,3,1.50,0,,0,0,,0,0,0,,0,0,0
24,1985,3,1985-09-22,25-009,NWE,@,BUF,W 17-14,6,15,2.50,0,,0,0,,0,0,0,,0,0,0
25,1985,4,1985-09-29,25-016,NWE,,RAI,L 20-35,2,6,3.00,0,,0,0,,0,0,0,,0,0,0
