
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1960,5,1960-10-30,29-194,NYG,,STL,L 13-20,1,2,2.00,0,,0,0,,0,0,0
2,1960,6,1960-11-06,29-201,NYG,@,CLE,W 17-13,2,4,2.00,0,,0,0,,0,0,0
3,1960,7,1960-11-13,29-208,NYG,,PIT,W 27-24,4,7,1.75,0,,1,27,27.00,0,0,0
4,1960,8,1960-11-20,29-215,NYG,,PHI,L 10-17,1,2,2.00,0,,0,0,,0,0,0
5,1960,9,1960-11-27,29-222,NYG,@,PHI,L 23-31,3,8,2.67,0,,2,33,16.50,0,0,0
6,1960,10,1960-12-04,29-229,NYG,,DAL,T 31-31,0,0,,0,,1,14,14.00,0,0,0
7,1960,11,1960-12-11,29-236,NYG,@,WAS,W 17-3,7,8,1.14,0,,2,14,7.00,0,0,0
8,1960,12,1960-12-18,29-243,NYG,,CLE,L 34-48,4,17,4.25,0,,2,18,9.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
9,1961,1,1961-09-17,30-151,NYG,,STL,L 10-21,5,25,5.00,0,,1,6,6.00,0,0,0
10,1961,2,1961-09-24,30-158,NYG,@,PIT,W 17-14,11,82,7.45,0,,1,-7,-7.00,0,0,0
11,1961,3,1961-10-01,30-165,NYG,@,WAS,W 24-21,20,98,4.90,0,,0,0,,0,0,0
12,1961,4,1961-10-08,30-172,NYG,@,STL,W 24-9,17,45,2.65,1,,2,-4,-2.00,0,1,6
13,1961,5,1961-10-15,30-179,NYG,@,DAL,W 31-10,8,54,6.75,0,,1,14,14.00,1,1,6
14,1961,6,1961-10-22,30-186,NYG,,RAM,W 24-14,13,98,7.54,0,,1,59,59.00,1,1,6
15,1961,7,1961-10-29,30-193,NYG,,DAL,L 16-17,15,72,4.80,0,,0,0,,0,0,0
16,1961,8,1961-11-05,30-200,NYG,,WAS,W 53-0,10,19,1.90,0,,3,30,10.00,0,0,0
17,1961,9,1961-11-12,30-207,NYG,,PHI,W 38-21,16,100,6.25,0,,2,30,15.00,0,0,0
18,1961,10,1961-11-19,30-214,NYG,,PIT,W 42-21,17,79,4.65,1,,3,29,9.67,1,2,12
19,1961,11,1961-11-26,30-221,NYG,@,CLE,W 37-21,15,49,3.27,0,,4,65,16.25,0,0,0
20,1961,12,1961-12-03,30-228,NYG,@,GNB,L 17-20,6,30,5.00,0,,3,33,11.00,0,0,0
21,1961,13,1961-12-10,30-235,NYG,@,PHI,W 28-24,22,86,3.91,0,,2,22,11.00,0,0,0
22,1961,14,1961-12-17,30-242,NYG,,CLE,T 7-7,21,91,4.33,0,,3,36,12.00,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
23,1962,1,1962-09-16,31-150,NYG,@,CLE,L 7-17,12,37,3.08,1,,5,50,10.00,0,1,6
24,1962,2,1962-09-23,31-157,NYG,@,PHI,W 29-13,17,42,2.47,0,,3,27,9.00,0,0,0
25,1962,3,1962-09-30,31-164,NYG,@,PIT,W 31-27,9,77,8.56,0,,5,101,20.20,1,1,6
26,1962,4,1962-10-07,31-171,NYG,@,STL,W 31-14,13,23,1.77,1,,5,33,6.60,0,1,6
27,1962,5,1962-10-14,31-178,NYG,,PIT,L 17-20,12,53,4.42,0,,4,7,1.75,0,0,0
28,1962,6,1962-10-21,31-185,NYG,,DET,W 17-14,15,25,1.67,0,,5,57,11.40,0,0,0
29,1962,7,1962-10-28,31-192,NYG,,WAS,W 49-34,16,54,3.38,0,,2,11,5.50,0,0,0
30,1962,8,1962-11-04,31-199,NYG,,STL,W 31-28,16,50,3.13,1,,1,20,20.00,1,2,12
31,1962,9,1962-11-11,31-206,NYG,@,DAL,W 41-10,12,24,2.00,0,,3,-15,-5.00,0,0,0
32,1962,10,1962-11-18,31-213,NYG,,PHI,W 19-14,28,107,3.82,1,,3,14,4.67,0,1,6
33,1962,11,1962-11-25,31-220,NYG,@,WAS,W 42-24,21,96,4.57,1,,1,17,17.00,0,1,6
34,1962,12,1962-12-02,31-227,NYG,@,CHI,W 26-24,17,89,5.24,0,,0,0,,0,0,0
35,1962,13,1962-12-09,31-234,NYG,,CLE,W 17-13,6,31,5.17,0,,0,0,,0,0,0
36,1962,14,1962-12-16,31-241,NYG,,DAL,W 41-31,13,35,2.69,0,,10,155,15.50,2,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
37,1963,1,1963-09-15,32-149,NYG,@,BAL,W 37-28,15,60,4.00,1,,1,16,16.00,0,1,6
38,1963,2,1963-09-22,32-156,NYG,@,PIT,L 0-31,3,5,1.67,0,,0,0,,0,0,0
39,1963,5,1963-10-13,32-177,NYG,,CLE,L 24-35,4,2,0.50,1,,1,10,10.00,0,1,6
40,1963,6,1963-10-20,32-184,NYG,,DAL,W 37-21,13,40,3.08,0,,3,29,9.67,0,0,0
41,1963,7,1963-10-27,32-191,NYG,@,CLE,W 33-6,16,53,3.31,1,,3,17,5.67,0,1,6
42,1963,8,1963-11-03,32-198,NYG,@,STL,W 38-21,16,52,3.25,0,,4,37,9.25,0,0,0
43,1963,9,1963-11-10,32-205,NYG,,PHI,W 42-14,8,43,5.38,1,,3,19,6.33,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
44,1964,1,1964-09-13,33-147,NYG,@,PHI,L 7-38,2,7,3.50,0,,2,6,3.00,0,0,0
45,1964,2,1964-09-20,33-154,NYG,@,PIT,L 24-27,8,20,2.50,1,,2,32,16.00,0,1,6
46,1964,3,1964-09-25,33-159,NYG,,WAS,W 13-10,9,22,2.44,0,,2,21,10.50,0,0,0
47,1964,4,1964-10-04,33-168,NYG,@,DET,L 3-26,5,14,2.80,0,,0,0,,0,0,0
48,1964,5,1964-10-11,33-175,NYG,@,DAL,T 13-13,5,19,3.80,0,,0,0,,0,0,0
49,1964,6,1964-10-18,33-182,NYG,,PHI,L 17-23,9,24,2.67,1,,0,0,,0,1,6
50,1964,7,1964-10-25,33-189,NYG,@,CLE,L 20-42,2,5,2.50,0,,1,0,0.00,0,0,0
51,1964,8,1964-11-01,33-196,NYG,,STL,W 34-17,4,15,3.75,0,,1,-4,-4.00,0,0,0
52,1964,9,1964-11-08,33-203,NYG,,DAL,L 21-31,1,2,2.00,1,,2,22,11.00,0,1,6
53,1964,10,1964-11-15,33-210,NYG,@,STL,T 10-10,12,22,1.83,0,,3,25,8.33,0,0,0
54,1964,11,1964-11-22,33-217,NYG,,PIT,L 17-44,9,35,3.89,0,,4,57,14.25,0,0,0
55,1964,12,1964-11-29,33-224,NYG,@,WAS,L 21-36,10,25,2.50,0,,2,40,20.00,0,0,0
,,,55 Games,,,,,32-19-4,576,2184,3.79,14,,115,1223,10.63,7,21,126
