
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts
1,1960,1,1960-09-11,28-147,NYT,,BUF,W 27-3,5,27,5.40,0,,2,9,4.50,0,0,0,,0,0,0,,0,0,0
2,1960,2,1960-09-17,28-153,NYT,,BOS,L 24-28,9,34,3.78,0,,2,48,24.00,1,0,0,,0,0,0,,0,1,6
3,1960,3,1960-09-23,28-159,NYT,,DEN,W 28-24,14,53,3.79,1,,0,0,,0,0,0,,0,0,0,,0,1,6
4,1960,4,1960-10-02,28-168,NYT,@,DTX,W 37-35,3,10,3.33,0,,0,0,,0,0,0,,0,0,0,,0,0,0
5,1960,5,1960-10-09,28-175,NYT,@,HOU,L 21-27,0,0,,0,,1,11,11.00,0,0,0,,0,0,0,,0,0,0
6,1960,7,1960-10-30,28-196,BUF,,HOU,W 25-24,0,0,,0,,0,0,,0,2,53,26.50,0,1,11,11.00,0,0,0
7,1960,8,1960-11-06,28-203,BUF,,DTX,L 28-45,0,0,,0,,0,0,,0,2,56,28.00,0,3,14,4.67,0,0,0
8,1960,10,1960-11-20,28-217,DEN,@,HOU,L 10-20,0,0,,0,,0,0,,0,1,27,27.00,0,0,0,,0,0,0
9,1960,11,1960-11-27,28-224,DEN,,BUF,T 38-38,5,37,7.40,0,,0,0,,0,3,89,29.67,0,0,0,,0,0,0
10,1960,12,1960-12-04,28-231,DEN,,NYT,L 27-30,0,0,,0,,0,0,,0,2,27,13.50,0,0,0,,0,0,0
,,,10 Games,,,,,4-5-1,36,161,4.47,1,,5,68,13.60,1,10,252,25.20,0,4,25,6.25,0,2,12
