
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1997,1,1997-08-31,23-036,MIN,@,BUF,W 34-13,0,0,,0,,0,0,,0,0,0,,0,,
2,1997,3,1997-09-14,23-050,MIN,,TAM,L 14-28,0,0,,0,,0,0,,0,0,0,,0,,
3,1997,5,1997-09-28,23-064,MIN,,PHI,W 28-19,0,0,,0,,0,0,,0,0,0,,0,,
4,1997,6,1997-10-05,23-071,MIN,@,ARI,W 20-19,0,0,,0,0,0,0,,0,4,84,21.00,0,0,0
5,1997,7,1997-10-12,23-078,MIN,,CAR,W 21-14,1,8,8.00,0,1,0,0,,0,2,57,28.50,0,0,0
6,1997,8,1997-10-26,23-092,MIN,@,TAM,W 10-6,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0
7,1997,9,1997-11-02,23-099,MIN,,NWE,W 23-18,19,43,2.26,1,3,3,14,4.67,0,4,137,34.25,0,1,6
8,1997,10,1997-11-09,23-106,MIN,,CHI,W 29-22,1,4,4.00,0,1,1,0,0.00,0,5,96,19.20,0,0,0
9,1997,11,1997-11-16,23-113,MIN,@,DET,L 15-38,0,0,,0,0,0,0,,0,1,14,14.00,0,0,0
10,1997,12,1997-11-23,23-120,MIN,@,NYJ,L 21-23,0,0,,0,,0,0,,0,0,0,,0,,
11,1997,13,1997-12-01,23-128,MIN,,GNB,L 11-27,0,0,,0,0,0,0,,0,0,0,,0,,
12,1997,14,1997-12-07,23-134,MIN,@,SFO,L 17-28,0,0,,0,,0,0,,0,0,0,,0,,
13,1997,15,1997-12-14,23-141,MIN,,DET,L 13-14,0,0,,0,,0,0,,0,0,0,,0,,
14,1997,16,1997-12-21,23-148,MIN,,IND,W 39-28,0,0,,0,0,0,0,,0,0,0,,0,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
15,1998,1,1998-09-06,24-042,MIN,,TAM,W 31-7,0,0,,0,0,0,0,,0,1,12,12.00,0,0,0
16,1998,12,1998-11-26,24-123,MIN,@,DAL,W 46-36,0,0,,0,0,0,0,,0,1,7,7.00,0,0,0
17,1998,13,1998-12-06,24-133,MIN,,CHI,W 48-22,0,0,,0,1,1,64,64.00,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
18,1999,3,1999-09-26,25-062,MIN,@,GNB,L 20-23,2,10,5.00,0,0,0,0,,0,1,20,20.00,0,0,0
19,1999,4,1999-10-03,25-069,MIN,,TAM,W 21-14,2,1,0.50,0,1,1,12,12.00,0,1,17,17.00,0,0,0
20,1999,5,1999-10-10,25-076,MIN,,CHI,L 22-24,,,,,0,,,,,,,,,,
21,1999,6,1999-10-17,25-083,MIN,@,DET,L 23-25,2,1,0.50,0,0,0,0,,0,0,0,,0,0,0
22,1999,7,1999-10-24,25-090,MIN,,SFO,W 40-16,6,25,4.17,1,2,0,0,,0,0,0,,0,1,6
23,1999,8,1999-10-31,25-097,MIN,@,DEN,W 23-20,4,9,2.25,0,0,0,0,,0,0,0,,0,0,0
24,1999,9,1999-11-08,25-105,MIN,,DAL,W 27-17,6,20,3.33,0,0,0,0,,0,1,26,26.00,0,0,0
25,1999,10,1999-11-14,25-111,MIN,@,CHI,W 27-24,0,0,,0,0,0,0,,0,3,35,11.67,0,0,0
