
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1991,4,1991-09-22,23-159,RAI,@,ATL,L 17-21,6,21,3.50,0,,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
2,1993,1,1993-09-05,25-142,GNB,,RAM,W 36-6,2,8,4.00,0,,0,0,,0,0,0,,0
3,1993,2,1993-09-12,25-149,GNB,,PHI,L 17-20,1,0,0.00,0,,0,0,,0,0,0,,0
4,1993,3,1993-09-26,25-163,GNB,@,MIN,L 13-15,0,0,,0,,0,0,,0,0,0,,0
5,1993,4,1993-10-03,25-170,GNB,@,DAL,L 14-36,0,0,,0,1,1,11,11.00,0,0,0,,0
6,1993,5,1993-10-10,25-177,GNB,,DEN,W 30-27,1,2,2.00,0,,0,0,,0,0,0,,0
7,1993,6,1993-10-24,25-191,GNB,@,TAM,W 37-14,0,0,,0,,0,0,,0,0,0,,0
8,1993,7,1993-10-31,25-198,GNB,,CHI,W 17-3,0,0,,0,1,1,7,7.00,0,0,0,,0
9,1993,8,1993-11-08,25-206,GNB,@,KAN,L 16-23,0,0,,0,,0,0,,0,2,57,28.50,0
10,1993,9,1993-11-14,25-212,GNB,@,NOR,W 19-17,1,0,0.00,0,,0,0,,0,0,0,,0
11,1993,10,1993-11-21,25-219,GNB,,DET,W 26-17,0,0,,0,,0,0,,0,1,6,6.00,0
12,1993,11,1993-11-28,25-226,GNB,,TAM,W 13-10,0,0,,0,,0,0,,0,0,0,,0
13,1993,12,1993-12-05,25-233,GNB,@,CHI,L 17-30,1,-7,-7.00,0,,0,0,,0,0,0,,0
14,1993,13,1993-12-12,25-240,GNB,@,SDG,W 20-13,0,0,,0,,0,0,,0,2,64,32.00,0
15,1993,14,1993-12-19,25-247,GNB,,MIN,L 17-21,0,0,,0,,0,0,,0,2,33,16.50,0
16,1993,15,1993-12-26,25-254,GNB,,RAI,W 28-0,0,0,,0,,0,0,,0,1,23,23.00,0
17,1993,16,1994-01-02,25-261,GNB,@,DET,L 20-30,0,0,,0,,0,0,,0,1,14,14.00,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
18,1994,1,1994-09-04,26-141,GNB,,MIN,W 16-10,,,,,,,,,,0,0,,0
19,1994,2,1994-09-11,26-148,GNB,,MIA,L 14-24,0,0,,0,0,0,0,,0,1,14,14.00,0
20,1994,3,1994-09-18,26-155,GNB,@,PHI,L 7-13,,,,,,,,,,0,0,,0
21,1994,4,1994-09-25,26-162,GNB,,TAM,W 30-3,,,,,,,,,,0,0,,0
22,1994,5,1994-10-02,26-169,GNB,@,NWE,L 16-17,,,,,0,,,,,0,0,,0
23,1994,6,1994-10-09,26-176,GNB,,RAM,W 24-17,,,,,0,,,,,0,0,,0
24,1994,7,1994-10-20,26-187,GNB,@,MIN,L 10-13,,,,,,,,,,0,0,,0
25,1994,8,1994-10-31,26-198,GNB,@,CHI,W 33-6,,,,,,,,,,0,0,,0
26,1994,9,1994-11-06,26-204,GNB,,DET,W 38-30,0,0,,0,0,0,0,,0,1,0,0.00,0
27,1994,10,1994-11-13,26-211,GNB,,NYJ,W 17-10,,,,,,,,,,0,0,,0
28,1994,12,1994-11-24,26-222,GNB,@,DAL,L 31-42,,,,,,,,,,0,0,,0
29,1994,15,1994-12-18,26-246,GNB,,ATL,W 21-17,,,,,,,,,,0,0,,0
,,,29 Games,,,,,16-13-0,12,24,2.00,0,2,2,18,9.00,0,11,211,19.18,0
