
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1960,1,1960-09-23,28-022,RAM,,STL,L 21-43,0,0,,0,,0,0,,0,1,27,27.00,0,0,0
2,1960,2,1960-10-02,28-031,RAM,@,SFO,L 9-13,8,15,1.88,0,,1,-5,-5.00,0,0,0,,0,0,0
3,1960,4,1960-10-16,28-045,RAM,@,BAL,L 17-31,2,5,2.50,0,,0,0,,0,0,0,,0,0,0
4,1960,6,1960-10-30,28-059,RAM,,DET,W 48-35,5,14,2.80,0,,2,5,2.50,1,1,21,21.00,0,1,6
5,1960,7,1960-11-06,28-066,RAM,@,DAL,W 38-13,3,11,3.67,0,,0,0,,0,0,0,,0,0,0
6,1960,10,1960-12-04,28-094,RAM,,SFO,L 7-23,3,-1,-0.33,0,,2,13,6.50,0,0,0,,0,0,0
7,1960,11,1960-12-11,28-101,RAM,,BAL,W 10-3,5,5,1.00,0,,2,10,5.00,0,0,0,,0,0,0
8,1960,12,1960-12-17,28-107,RAM,,GNB,L 21-35,15,90,6.00,0,,4,59,14.75,1,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
9,1961,1,1961-09-17,29-016,RAM,@,BAL,L 24-27,15,118,7.87,0,,0,0,,0,0,0,,0,0,0
10,1961,2,1961-09-23,29-022,RAM,,CHI,L 17-21,6,3,0.50,0,,0,0,,0,0,0,,0,0,0
11,1961,3,1961-10-01,29-030,RAM,,PIT,W 24-14,5,3,0.60,0,,0,0,,0,0,0,,0,0,0
12,1961,4,1961-10-08,29-037,RAM,@,SFO,L 0-35,5,14,2.80,0,,0,0,,0,0,0,,0,0,0
13,1961,5,1961-10-15,29-044,RAM,@,DET,L 13-14,4,7,1.75,0,,0,0,,0,0,0,,0,0,0
14,1961,8,1961-11-05,29-065,RAM,,MIN,W 31-17,4,62,15.50,1,,0,0,,0,0,0,,0,1,6
15,1961,11,1961-11-26,29-086,RAM,@,CHI,L 24-28,3,16,5.33,0,,1,12,12.00,0,0,0,,0,0,0
16,1961,12,1961-12-03,29-093,RAM,@,MIN,L 21-42,2,-3,-1.50,0,,0,0,,0,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
17,1962,1,1962-09-16,30-015,CLE,,NYG,W 17-7,18,76,4.22,0,,2,23,11.50,0,0,0,,0,0,0
18,1962,2,1962-09-23,30-022,CLE,,WAS,L 16-17,12,28,2.33,1,,1,8,8.00,0,0,0,,0,1,6
19,1962,3,1962-09-30,30-029,CLE,@,PHI,L 7-35,9,33,3.67,0,,0,0,,0,0,0,,0,0,0
20,1962,4,1962-10-07,30-036,CLE,,DAL,W 19-10,1,-6,-6.00,0,,0,0,,0,2,63,31.50,0,0,0
21,1962,5,1962-10-14,30-043,CLE,,BAL,L 14-36,4,9,2.25,0,,4,37,9.25,0,1,46,46.00,0,0,0
22,1962,6,1962-10-21,30-050,CLE,@,STL,W 34-7,0,0,,0,,1,42,42.00,0,0,0,,0,0,0
23,1962,7,1962-10-28,30-057,CLE,@,PIT,W 41-14,2,1,0.50,0,,0,0,,0,0,0,,0,0,0
24,1962,8,1962-11-04,30-064,CLE,,PHI,T 14-14,0,0,,0,,0,0,,0,2,46,23.00,0,0,0
25,1962,12,1962-12-02,30-092,CLE,@,DAL,L 21-45,0,0,,0,,0,0,,0,2,34,17.00,0,0,0
