
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1962,13,1962-12-09,23-078,SFO,,GNB,L 21-31,0,0,,0,,0,0,,0,1,18,18.00,0,0,0
2,1962,14,1962-12-15,23-084,SFO,,CLE,L 10-13,1,-15,-15.00,0,,1,2,2.00,0,2,49,24.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
3,1963,1,1963-09-15,23-358,SFO,,MIN,L 20-24,10,81,8.10,0,,1,3,3.00,0,0,0,,0,0,0
4,1963,2,1963-09-22,24-000,SFO,,BAL,L 14-20,11,40,3.64,0,,0,0,,0,0,0,,0,0,0
5,1963,3,1963-09-29,24-007,SFO,@,MIN,L 14-45,5,9,1.80,1,,1,10,10.00,0,0,0,,0,1,6
6,1963,4,1963-10-06,24-014,SFO,@,DET,L 3-26,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0
,,,6 Games,,,,,0-6-0,28,112,4.00,1,,3,15,5.00,0,3,67,22.33,0,1,6
