
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1986,1,1986-09-07,22-274,TAM,,SFO,L 7-31,0,0,,0,,1,10,10.00,0,3,59,19.67,0,0,0
2,1986,2,1986-09-14,22-281,TAM,,MIN,L 10-23,0,0,,0,,0,0,,0,3,61,20.33,0,0,0
3,1986,3,1986-09-21,22-288,TAM,@,DET,W 24-20,18,138,7.67,2,,1,2,2.00,0,1,15,15.00,0,2,12
4,1986,4,1986-09-28,22-295,TAM,,ATL,L 20-23,19,65,3.42,0,,2,8,4.00,0,0,0,,0,0,0
5,1986,5,1986-10-05,22-302,TAM,@,RAM,L 20-26,18,108,6.00,1,,1,8,8.00,0,0,0,,0,1,6
6,1986,6,1986-10-12,22-309,TAM,,STL,L 19-30,7,5,0.71,0,,2,19,9.50,0,0,0,,0,0,0
7,1986,7,1986-10-19,22-316,TAM,@,NOR,L 7-38,5,10,2.00,0,,1,10,10.00,0,0,0,,0,0,0
8,1986,8,1986-10-26,22-323,TAM,@,KAN,L 20-27,2,2,1.00,0,,0,0,,0,0,0,,0,0,0
9,1986,9,1986-11-02,22-330,TAM,,BUF,W 34-28,4,11,2.75,0,,0,0,,0,3,73,24.33,0,0,0
10,1986,10,1986-11-09,22-337,TAM,,CHI,L 3-23,0,0,,0,,0,0,,0,0,0,,0,,
,,,10 Games,,,,,2-8-0,73,339,4.64,3,,8,57,7.13,0,10,208,20.80,0,3,18
