
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1999,1,1999-09-12,22-339,PIT,@,CLE,W 43-0,17,44,2.59,0,1,1,14,14.00,0,0,0,,0,0,0
2,1999,2,1999-09-19,22-346,PIT,@,BAL,W 23-20,,,,,,,,,,,,,,,
3,1999,3,1999-09-26,22-353,PIT,,SEA,L 10-29,0,0,,0,1,1,3,3.00,0,0,0,,0,0,0
4,1999,10,1999-11-21,23-044,PIT,@,TEN,L 10-16,,,,,,,,,,,,,,,
5,1999,11,1999-11-28,23-051,PIT,,CIN,L 20-27,1,4,4.00,0,0,0,0,,0,2,40,20.00,0,0,0
6,1999,12,1999-12-02,23-055,PIT,@,JAX,L 6-20,0,0,,0,0,0,0,,0,1,15,15.00,0,0,0
7,1999,15,1999-12-26,23-079,PIT,,CAR,W 30-20,,,,,0,,,,,,,,,,
8,1999,16,2000-01-02,23-086,PIT,,TEN,L 36-47,0,0,,0,0,0,0,,0,4,114,28.50,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
9,2000,3,2000-09-24,23-352,PIT,,TEN,L 20-23,,,,,0,,,,,,,,,,
10,2000,4,2000-10-01,23-359,PIT,@,JAX,W 24-13,,,,,0,,,,,,,,,,
11,2000,5,2000-10-08,24-000,PIT,@,NYJ,W 20-3,,,,,,,,,,,,,,,
12,2000,8,2000-10-29,24-021,PIT,@,BAL,W 9-6,,,,,,,,,,,,,,,
13,2000,9,2000-11-05,24-028,PIT,@,TEN,L 7-9,,,,,0,,,,,,,,,,
14,2000,10,2000-11-12,24-035,PIT,,PHI,L 23-26,,,,,0,,,,,,,,,,
15,2000,11,2000-11-19,24-042,PIT,,JAX,L 24-34,,,,,,,,,,,,,,,
16,2000,12,2000-11-26,24-049,PIT,@,CIN,W 48-28,3,5,1.67,0,0,0,0,,0,0,0,,0,0,0
17,2000,13,2000-12-03,24-056,PIT,,OAK,W 21-20,,,,,0,,,,,,,,,,
18,2000,14,2000-12-10,24-063,PIT,@,NYG,L 10-30,,,,,,,,,,,,,,,
19,2000,15,2000-12-16,24-069,PIT,,WAS,W 24-3,3,9,3.00,0,0,0,0,,0,0,0,,0,0,0
20,2000,16,2000-12-24,24-077,PIT,@,SDG,W 34-21,,,,,,,,,,,,,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
21,2001,1,2001-09-09,24-336,PIT,@,JAX,L 3-21,9,60,6.67,0,2,2,14,7.00,0,0,0,,0,0,0
22,2001,2,2001-09-30,24-357,PIT,@,BUF,W 20-3,4,37,9.25,0,0,0,0,,0,0,0,,0,0,0
23,2001,3,2001-10-07,24-364,PIT,,CIN,W 16-7,8,60,7.50,0,1,1,2,2.00,0,0,0,,0,0,0
24,2001,4,2001-10-14,25-006,PIT,@,KAN,W 20-17,8,42,5.25,0,2,2,17,8.50,0,0,0,,0,0,0
25,2001,5,2001-10-21,25-013,PIT,@,TAM,W 17-10,8,12,1.50,0,1,1,4,4.00,0,0,0,,0,0,0
26,2001,6,2001-10-29,25-021,PIT,,TEN,W 34-7,7,17,2.43,0,0,0,0,,0,0,0,,0,0,0
27,2001,8,2001-11-11,25-034,PIT,@,CLE,W 15-12,4,20,5.00,0,3,3,77,25.67,0,0,0,,0,0,0
