
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2008,1,2008-09-07,21-181,DAL,@,CLE,W 28-10,,,,,,,,,,,,,,,
2,2008,2,2008-09-15,21-189,DAL,,PHI,W 41-37,3,1,20,20.00,0,0,0,,0,,0,0,0.0,0,0
3,2008,3,2008-09-21,21-195,DAL,@,GNB,W 27-16,2,1,37,37.00,0,0,0,,0,,0,0,0.0,0,0
4,2008,4,2008-09-28,21-202,DAL,,WAS,L 24-26,1,1,0,0.00,0,0,0,,0,,0,0,0.0,0,0
5,2008,5,2008-10-05,21-209,DAL,,CIN,W 31-22,1,,,,,,,,,,,,,,
6,2008,6,2008-10-12,21-216,DAL,@,ARI,L 24-30,1,,,,,,,,,,,,,,
7,2008,7,2008-10-19,21-223,DAL,@,STL,L 14-34,2,2,67,33.50,1,0,0,,0,,1,6,0.0,0,0
8,2008,8,2008-10-26,21-230,DAL,,TAM,W 13-9,3,3,21,7.00,0,0,0,,0,,0,0,0.0,0,0
9,2008,9,2008-11-02,21-237,DAL,@,NYG,L 14-35,4,3,36,12.00,0,0,0,,0,,0,0,0.0,0,0
10,2008,10,2008-11-16,21-251,DAL,@,WAS,W 14-10,1,1,25,25.00,1,0,0,,0,,1,6,0.0,0,0
11,2008,11,2008-11-23,21-258,DAL,,SFO,W 35-22,1,1,1,1.00,1,0,0,,0,,1,6,0.0,0,0
12,2008,12,2008-11-27,21-262,DAL,,SEA,W 34-9,2,2,35,17.50,1,0,0,,0,,1,6,0.0,0,0
13,2008,13,2008-12-07,21-272,DAL,@,PIT,L 13-20,2,2,19,9.50,0,0,0,,0,,0,0,0.0,0,0
14,2008,14,2008-12-14,21-279,DAL,,NYG,W 20-8,1,1,8,8.00,0,0,0,,0,,0,0,0.0,0,0
15,2008,15,2008-12-20,21-285,DAL,,BAL,L 24-33,,,,,,,,,,,,,,,
16,2008,16,2008-12-28,21-293,DAL,@,PHI,L 6-44,3,2,14,7.00,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
17,2009,1,2009-09-13,22-187,DAL,@,TAM,W 34-21,2,1,13,13.00,0,0,0,,0,,0,0,0.0,0,0
18,2009,2,2009-09-20,22-194,DAL,,NYG,L 31-33,4,1,11,11.00,0,0,0,,0,,0,0,0.0,0,0
19,2009,3,2009-09-28,22-202,DAL,,CAR,W 21-7,3,1,3,3.00,0,0,0,,0,,0,0,0.0,0,0
20,2009,4,2009-10-04,22-208,DAL,@,DEN,L 10-17,1,1,13,13.00,0,0,0,,0,,0,0,0.0,0,0
21,2009,5,2009-10-11,22-215,DAL,@,KAN,W 26-20,1,,,,,,,,,,,,,,
22,2009,6,2009-10-25,22-229,DAL,,ATL,W 37-21,3,3,32,10.67,0,0,0,,0,,0,0,0.0,0,0
23,2009,7,2009-11-01,22-236,DAL,,SEA,W 38-17,3,2,18,9.00,0,0,0,,0,,0,0,0.0,0,0
24,2009,8,2009-11-08,22-243,DAL,@,PHI,W 20-16,2,,,,,,,,,,,,,,
25,2009,9,2009-11-15,22-250,DAL,@,GNB,L 7-17,2,1,6,6.00,0,0,0,,0,,0,0,0.0,0,0
26,2009,10,2009-11-22,22-257,DAL,,WAS,W 7-6,3,3,43,14.33,0,0,0,,0,,0,0,0.0,0,0
27,2009,11,2009-11-26,22-261,DAL,,OAK,W 24-7,,,,,,,,,,,,,,,
28,2009,12,2009-12-06,22-271,DAL,@,NYG,L 24-31,3,2,20,10.00,0,0,0,,0,,0,0,0.0,0,0
29,2009,15,2009-12-27,22-292,DAL,@,WAS,W 17-0,2,,,,,,,,,,,,,,
30,2009,16,2010-01-03,22-299,DAL,,PHI,W 24-0,1,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Sk,Tkl,Ast
