
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2010,4,2010-10-03,22-186,HOU,@,OAK,W 31-24,,,,,,,,,,,,,
2,2010,5,2010-10-10,22-193,HOU,,NYG,L 10-34,,,,,,,,,,,,,
3,2010,9,2010-11-14,22-228,HOU,@,JAX,L 24-31,,,,,,,,,,,,,
4,2010,11,2010-11-28,22-242,HOU,,TEN,W 20-0,,,,,,,,,,,,,
5,2010,14,2010-12-19,22-263,HOU,@,TEN,L 17-31,,,,,,,,,,,,,
6,2010,15,2010-12-26,22-270,HOU,@,DEN,L 23-24,,,,,,,,,,,,,
7,2010,16,2011-01-02,22-277,HOU,,JAX,W 34-17,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
8,2012,1,2012-09-09,24-162,BUF,@,NYJ,L 28-48,,,,,,,,,,,,,
9,2012,2,2012-09-16,24-169,BUF,,KAN,W 35-17,0,0,0,,0,1,-8,-8.00,0,0,0,,0
10,2012,3,2012-09-23,24-176,BUF,@,CLE,W 24-14,,,,,,,,,,,,,
11,2012,4,2012-09-30,24-183,BUF,,NWE,L 28-52,2,2,36,18.00,0,0,0,,0,0,0,,0
12,2012,7,2012-10-21,24-204,BUF,,TEN,L 34-35,,,,,,,,,,,,,
13,2012,8,2012-11-04,24-218,BUF,@,HOU,L 9-21,1,1,13,13.00,0,0,0,,0,0,0,,0
14,2012,9,2012-11-11,24-225,BUF,@,NWE,L 31-37,,,,,,,,,,,,,
15,2012,10,2012-11-15,24-229,BUF,,MIA,W 19-14,1,1,4,4.00,0,0,0,,0,0,0,,0
16,2012,11,2012-11-25,24-239,BUF,@,IND,L 13-20,1,0,0,,0,0,0,,0,0,0,,0
17,2012,13,2012-12-09,24-253,BUF,,STL,L 12-15,,,,,,,,,,,,,
18,2012,14,2012-12-16,24-260,BUF,,SEA,L 17-50,2,1,10,10.00,0,0,0,,0,0,0,,0
19,2012,15,2012-12-23,24-267,BUF,@,MIA,L 10-24,8,4,54,13.50,0,0,0,,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
20,2013,11,2013-11-24,25-238,DET,,TAM,L 21-24,,,,,,,,,,,,,
21,2013,12,2013-11-28,25-242,DET,,GNB,W 40-10,1,1,26,26.00,0,0,0,,0,0,0,,0
22,2013,13,2013-12-08,25-252,DET,@,PHI,L 20-34,1,0,0,,0,0,0,,0,1,18,18.00,0
23,2013,14,2013-12-16,25-260,DET,,BAL,L 16-18,,,,,,,,,,,,,
24,2013,15,2013-12-22,25-266,DET,,NYG,L 20-23,3,1,8,8.00,0,0,0,,0,0,0,,0
,,,24 Games,,,,,7-17-0,20,11,151,13.73,0,1,-8,-8.00,0,1,18,18.00,0
