
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2013,6,2013-10-13,23-105,BUF,,CIN,L 24-27,,,,,,,
2,2013,7,2013-10-20,23-112,BUF,@,MIA,W 23-21,,,,,,,
3,2013,8,2013-10-27,23-119,BUF,@,NOR,L 17-35,,,,,,,
4,2013,9,2013-11-03,23-126,BUF,,KAN,L 13-23,,,,,,,
5,2013,10,2013-11-10,23-133,BUF,@,PIT,L 10-23,6,4,25,6.25,1,1,6
6,2013,11,2013-11-17,23-140,BUF,,NYJ,W 37-14,,,,,,,
7,2013,13,2013-12-08,23-161,BUF,@,TAM,L 6-27,,,,,,,
8,2013,14,2013-12-15,23-168,BUF,@,JAX,W 27-20,1,1,28,28.00,0,0,0
9,2013,15,2013-12-22,23-175,BUF,,MIA,W 19-0,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
10,2014,1,2014-09-07,24-069,BUF,@,CHI,W 23-20,,,,,,,
11,2014,2,2014-09-14,24-076,BUF,,MIA,W 29-10,2,1,14,14.00,0,0,0
12,2014,4,2014-09-28,24-090,BUF,@,HOU,L 17-23,,,,,,,
13,2014,5,2014-10-05,24-097,BUF,@,DET,W 17-14,1,1,2,2.00,1,1,6
14,2014,6,2014-10-12,24-104,BUF,,NWE,L 22-37,,,,,,,
15,2014,7,2014-10-19,24-111,BUF,,MIN,W 17-16,2,2,19,9.50,0,0,0
16,2014,8,2014-10-26,24-118,BUF,@,NYJ,W 43-23,,,,,,,
17,2014,9,2014-11-09,24-132,BUF,,KAN,L 13-17,1,0,0,,0,0,0
18,2014,10,2014-11-13,24-136,BUF,@,MIA,L 9-22,1,1,2,2.00,0,0,0
19,2014,11,2014-11-24,24-147,BUF,,NYJ,W 38-3,3,2,11,5.50,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
20,2015,4,2015-10-04,25-096,BUF,,NYG,L 10-24,1,1,15,15.00,0,0,0
21,2015,5,2015-10-11,25-103,BUF,@,TEN,W 14-13,0,0,0,,0,0,0
22,2015,6,2015-10-18,25-110,BUF,,CIN,L 21-34,5,5,54,10.80,0,0,0
23,2015,7,2015-10-25,25-117,BUF,@,JAX,L 31-34,7,2,35,17.50,0,0,0
24,2015,8,2015-11-08,25-131,BUF,,MIA,W 33-17,0,0,0,,0,0,0
25,2015,9,2015-11-12,25-135,BUF,@,NYJ,W 22-17,0,0,0,,0,0,0
26,2015,10,2015-11-23,25-146,BUF,@,NWE,L 13-20,1,0,0,,0,0,0
27,2015,11,2015-11-29,25-152,BUF,@,KAN,L 22-30,0,0,0,,0,0,0
,,,27 Games,,,,,13-14-0,31,20,205,10.25,2,2,12
