
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2014,1,2014-09-07,22-262,MIA,,NWE,W 33-20,1,1,7,7.00,0
2,2014,2,2014-09-14,22-269,MIA,@,BUF,L 10-29,,,,,
3,2014,3,2014-09-21,22-276,MIA,,KAN,L 15-34,,,,,
4,2014,4,2014-09-28,22-283,MIA,@,OAK,W 38-14,,,,,
5,2014,8,2014-11-02,22-318,MIA,,SDG,W 37-0,1,1,14,14.00,0
6,2014,9,2014-11-09,22-325,MIA,@,DET,L 16-20,1,0,0,,0
7,2014,10,2014-11-13,22-329,MIA,,BUF,W 22-9,,,,,
8,2014,11,2014-11-23,22-339,MIA,@,DEN,L 36-39,,,,,
9,2014,12,2014-12-01,22-347,MIA,@,NYJ,W 16-13,1,1,0,0.00,0
10,2014,13,2014-12-07,22-353,MIA,,BAL,L 13-28,,,,,
11,2014,14,2014-12-14,22-360,MIA,@,NWE,L 13-41,,,,,
,,,11 Games,,,,,5-6-0,4,3,21,7.00,0
