
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2009,1,2009-09-10,22-015,PIT,,TEN,W 13-10,,,,,,,,,,,,,,,
2,2009,2,2009-09-20,22-025,PIT,@,CHI,L 14-17,,,,,,,,,,,,,,,
3,2009,3,2009-09-27,22-032,PIT,@,CIN,L 20-23,,,,,,,,,,,,,,,
4,2009,5,2009-10-11,22-046,PIT,@,DET,W 28-20,0,,,,,,,,,,,,,,
5,2009,6,2009-10-18,22-053,PIT,,CLE,W 27-14,,,,,,,,,,,,,,,
6,2009,7,2009-10-25,22-060,PIT,,MIN,W 27-17,1,1,4,4.00,0,0,0,,0,0,0,,0,0,0
7,2009,8,2009-11-09,22-075,PIT,@,DEN,W 28-10,,,,,,,,,,,,,,,
8,2009,9,2009-11-15,22-081,PIT,,CIN,L 12-18,,,,,,,,,,,,,,,
9,2009,10,2009-11-22,22-088,PIT,@,KAN,L 24-27,1,1,5,5.00,0,0,0,,0,0,0,,0,0,0
10,2009,11,2009-11-29,22-095,PIT,@,BAL,L 17-20,,,,,,,,,,,,,,,
11,2009,12,2009-12-06,22-102,PIT,,OAK,L 24-27,,,,,,,,,,,,,,,
12,2009,13,2009-12-10,22-106,PIT,@,CLE,L 6-13,1,,,,,,,,,,,,,,
13,2009,14,2009-12-20,22-116,PIT,,GNB,W 37-36,,,,,,,,,,,,,,,
14,2009,15,2009-12-27,22-123,PIT,,BAL,W 23-20,1,,,,,,,,,,,,,,
15,2009,16,2010-01-03,22-130,PIT,@,MIA,W 30-24,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
16,2010,1,2010-09-12,23-017,PIT,,ATL,W 15-9,,,,,,,,,,,,,,,
