
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,1,2015-09-13,23-240,CHI,,GNB,L 23-31,0,0,0,,0
2,2015,2,2015-09-20,23-247,CHI,,ARI,L 23-48,0,0,0,,0
3,2015,3,2015-09-27,23-254,CHI,@,SEA,L 0-26,0,0,0,,0
4,2015,4,2015-10-04,23-261,CHI,,OAK,W 22-20,0,0,0,,0
5,2015,5,2015-10-11,23-268,CHI,@,KAN,W 18-17,1,0,0,,0
6,2015,6,2015-10-18,23-275,CHI,@,DET,L 34-37,0,0,0,,0
7,2015,7,2015-11-01,23-289,CHI,,MIN,L 20-23,0,0,0,,0
8,2015,8,2015-11-09,23-297,CHI,@,SDG,W 22-19,0,0,0,,0
9,2015,9,2015-11-15,23-303,CHI,@,STL,W 37-13,0,0,0,,0
10,2015,10,2015-11-22,23-310,CHI,,DEN,L 15-17,0,0,0,,0
11,2015,11,2015-11-26,23-314,CHI,@,GNB,W 17-13,1,1,7,7.00,0
,,,11 Games,,,,,5-6-0,2,1,7,7.00,0
