
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2007,3,2007-09-23,22-196,CHI,,DAL,L 10-34,2,2,28,14.00,0,,0,0,0.0,0,0
2,2007,4,2007-09-30,22-203,CHI,@,DET,L 27-37,,0,0,,0,,0,0,0.0,0,0
3,2007,5,2007-10-07,22-210,CHI,@,GNB,W 27-20,7,4,57,14.25,1,,1,6,0.0,0,0
4,2007,6,2007-10-14,22-217,CHI,,MIN,L 31-34,7,5,63,12.60,0,,0,0,0.0,0,0
5,2007,7,2007-10-21,22-224,CHI,@,PHI,W 19-16,7,4,48,12.00,0,,0,0,0.0,0,0
6,2007,8,2007-10-28,22-231,CHI,,DET,L 7-16,7,6,59,9.83,1,,1,6,0.0,0,0
7,2007,9,2007-11-11,22-245,CHI,@,OAK,W 17-6,1,0,0,,0,,0,0,0.0,0,0
8,2007,10,2007-11-18,22-252,CHI,@,SEA,L 23-30,8,7,43,6.14,0,,0,0,0.0,0,0
9,2007,11,2007-11-25,22-259,CHI,,DEN,W 37-34,4,1,10,10.00,0,,0,0,0.0,0,0
10,2007,12,2007-12-02,22-266,CHI,,NYG,L 16-21,3,2,7,3.50,0,,0,0,0.0,0,0
11,2007,13,2007-12-06,22-270,CHI,@,WAS,L 16-24,8,3,31,10.33,0,,0,0,0.0,0,0
12,2007,14,2007-12-17,22-281,CHI,@,MIN,L 13-20,3,2,18,9.00,0,,0,0,0.0,0,0
13,2007,15,2007-12-23,22-287,CHI,,GNB,W 35-7,2,1,10,10.00,0,,0,0,0.0,0,0
14,2007,16,2007-12-30,22-294,CHI,,NOR,W 33-25,7,2,17,8.50,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
15,2008,1,2008-09-07,23-180,CHI,@,IND,W 29-13,2,2,36,18.00,0,,0,0,0.0,0,0
16,2008,2,2008-09-14,23-187,CHI,@,CAR,L 17-20,2,2,7,3.50,0,,0,0,0.0,0,0
17,2008,3,2008-09-21,23-194,CHI,,TAM,L 24-27,3,2,16,8.00,0,,0,0,0.0,0,0
18,2008,4,2008-09-28,23-201,CHI,,PHI,W 24-20,7,4,35,8.75,1,,1,6,0.0,0,0
19,2008,5,2008-10-05,23-208,CHI,@,DET,W 34-7,3,3,87,29.00,0,,0,0,0.0,0,0
20,2008,6,2008-10-12,23-215,CHI,@,ATL,L 20-22,8,3,41,13.67,0,,0,0,0.0,0,0
21,2008,7,2008-10-19,23-222,CHI,,MIN,W 48-41,8,6,74,12.33,1,,1,6,0.0,0,0
22,2008,8,2008-11-02,23-236,CHI,,DET,W 27-23,5,2,10,5.00,0,,0,0,0.0,0,0
23,2008,9,2008-11-09,23-243,CHI,,TEN,L 14-21,5,5,40,8.00,0,,0,0,0.0,0,0
24,2008,10,2008-11-16,23-250,CHI,@,GNB,L 3-37,4,4,45,11.25,0,,0,0,0.0,0,0
25,2008,11,2008-11-23,23-257,CHI,@,STL,W 27-3,2,,,,,,,,,,
26,2008,12,2008-11-30,23-264,CHI,@,MIN,L 14-34,5,1,7,7.00,0,,0,0,0.0,1,0
27,2008,13,2008-12-07,23-271,CHI,,JAX,W 23-10,5,3,52,17.33,1,,1,6,0.0,1,0
28,2008,14,2008-12-11,23-275,CHI,,NOR,W 27-24,10,8,45,5.63,0,,0,0,0.0,0,0
29,2008,15,2008-12-22,23-286,CHI,,GNB,W 20-17,5,5,49,9.80,1,,1,6,0.0,0,0
30,2008,16,2008-12-28,23-292,CHI,@,HOU,L 24-31,8,4,30,7.50,1,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
31,2009,1,2009-09-13,24-186,CHI,@,GNB,L 15-21,6,1,8,8.00,0,,0,0,0.0,0,0
32,2009,2,2009-09-20,24-193,CHI,,PIT,W 17-14,6,3,41,13.67,0,,0,0,0.0,0,0
33,2009,3,2009-09-27,24-200,CHI,@,SEA,W 25-19,6,5,44,8.80,1,,1,6,0.0,0,0
34,2009,4,2009-10-04,24-207,CHI,,DET,W 48-24,7,1,1,1.00,1,,1,6,0.0,0,0
35,2009,5,2009-10-18,24-221,CHI,@,ATL,L 14-21,10,5,57,11.40,1,,1,6,0.0,0,0
36,2009,6,2009-10-25,24-228,CHI,@,CIN,L 10-45,5,4,24,6.00,0,,0,0,0.0,0,0
37,2009,7,2009-11-01,24-235,CHI,,CLE,W 30-6,4,3,40,13.33,0,,0,0,0.0,0,0
38,2009,8,2009-11-08,24-242,CHI,,ARI,L 21-41,7,5,71,14.20,3,,3,18,0.0,0,0
39,2009,9,2009-11-12,24-246,CHI,@,SFO,L 6-10,10,7,75,10.71,0,,0,0,0.0,0,0
40,2009,10,2009-11-22,24-256,CHI,,PHI,L 20-24,12,6,42,7.00,0,,0,0,0.0,0,0
41,2009,11,2009-11-29,24-263,CHI,@,MIN,L 10-36,8,7,45,6.43,0,,0,0,0.0,0,0
42,2009,12,2009-12-06,24-270,CHI,,STL,W 17-9,3,2,1,0.50,0,,0,0,0.0,0,0
43,2009,13,2009-12-13,24-277,CHI,,GNB,L 14-21,5,2,14,7.00,0,,0,0,0.0,0,0
44,2009,14,2009-12-20,24-284,CHI,@,BAL,L 7-31,5,1,8,8.00,0,,0,0,0.0,1,0
45,2009,15,2009-12-28,24-292,CHI,,MIN,W 36-30,6,3,47,15.67,1,,1,6,0.0,0,0
46,2009,16,2010-01-03,24-298,CHI,@,DET,W 37-23,8,5,94,18.80,1,,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
