
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2015,1,2015-09-14,23-174,MIN,@,SFO,L 3-20,0,0,0,,0,0,0,,0
2,2015,2,2015-09-20,23-180,MIN,,DET,W 26-16,0,0,0,,0,0,0,,0
3,2015,3,2015-09-27,23-187,MIN,,SDG,W 31-14,2,0,0,,0,0,0,,0
4,2015,4,2015-10-04,23-194,MIN,@,DEN,L 20-23,1,0,0,,0,0,0,,0
5,2015,5,2015-10-18,23-208,MIN,,KAN,W 16-10,0,0,0,,0,0,0,,0
6,2015,6,2015-10-25,23-215,MIN,@,DET,W 28-19,1,1,13,13.00,0,0,0,,0
7,2015,7,2015-11-01,23-222,MIN,@,CHI,W 23-20,3,2,15,7.50,0,0,0,,0
8,2015,8,2015-11-08,23-229,MIN,,STL,W 21-18,2,1,6,6.00,0,0,0,,0
9,2015,9,2015-11-15,23-236,MIN,@,OAK,W 30-14,2,2,7,3.50,0,1,12,12.00,0
10,2015,10,2015-11-22,23-243,MIN,,GNB,L 13-30,1,1,8,8.00,0,0,0,,0
11,2015,11,2015-11-29,23-250,MIN,@,ATL,W 20-10,0,0,0,,0,0,0,,0
,,,11 Games,,,,,8-3-0,12,7,49,7.00,0,1,12,12.00,0
