
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2011,1,2011-09-11,22-347,MIN,@,SDG,L 17-24,,,,,
2,2011,2,2011-09-18,22-354,MIN,,TAM,L 20-24,,,,,
3,2011,3,2011-09-25,22-361,MIN,,DET,L 23-26,0,0,0,,0
4,2011,4,2011-10-02,23-003,MIN,@,KAN,L 17-22,,,,,
5,2011,11,2011-11-27,23-059,MIN,@,ATL,L 14-24,1,1,5,5.00,0
6,2011,12,2011-12-04,23-066,MIN,,DEN,L 32-35,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
7,2012,1,2012-09-09,23-346,MIN,,JAX,W 26-23,,,,,
8,2012,2,2012-09-16,23-353,MIN,@,IND,L 20-23,,,,,
9,2012,3,2012-09-23,23-360,MIN,,SFO,W 24-13,1,0,0,,0
10,2012,9,2012-11-04,24-036,MIN,@,SEA,L 20-30,1,1,13,13.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
11,2013,1,2013-09-08,24-344,JAX,,KAN,L 2-28,5,3,31,10.33,0
12,2013,2,2013-09-15,24-351,JAX,@,OAK,L 9-19,2,2,9,4.50,0
13,2013,3,2013-09-22,24-358,JAX,@,SEA,L 17-45,1,0,0,,0
14,2013,4,2013-09-29,25-000,JAX,,IND,L 3-37,1,0,0,,0
15,2013,5,2013-10-06,25-007,JAX,@,STL,L 20-34,,,,,
,,,15 Games,,,,,2-13-0,12,7,58,8.29,0
