
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-07,21-343,TAM,,CAR,L 14-20,2,1,26,26.00,0,0,0,0.0,0,0
2,2014,4,2014-09-28,21-364,TAM,@,PIT,W 27-24,7,3,44,14.67,0,0,0,0.0,0,0
3,2014,5,2014-10-05,22-006,TAM,@,NOR,L 31-37,3,1,11,11.00,0,0,0,0.0,0,0
4,2014,6,2014-10-12,22-013,TAM,,BAL,L 17-48,5,4,58,14.50,0,0,0,0.0,0,0
5,2014,7,2014-10-26,22-027,TAM,,MIN,L 13-19,4,3,26,8.67,1,1,6,0.0,0,0
6,2014,8,2014-11-02,22-034,TAM,@,CLE,L 17-22,3,1,3,3.00,0,0,0,0.0,0,0
7,2014,9,2014-11-09,22-041,TAM,,ATL,L 17-27,9,5,30,6.00,1,1,6,0.0,0,0
8,2014,10,2014-11-16,22-048,TAM,@,WAS,W 27-7,1,1,7,7.00,0,0,0,0.0,0,0
9,2014,11,2014-11-23,22-055,TAM,@,CHI,L 13-21,4,2,16,8.00,0,0,0,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
10,2015,1,2015-09-13,22-349,TAM,,TEN,L 14-42,7,5,110,22.00,2,2,12,0.0,0,0
11,2015,2,2015-09-20,22-356,TAM,@,NOR,W 26-19,3,2,29,14.50,0,0,0,0.0,0,0
,,,11 Games,,,,,3-8-0,48,28,360,12.86,4,4,24,0.0,1,0
