
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2015,4,2015-10-04,23-334,NYG,@,BUF,W 24-10,1,0,0,,0
2,2015,5,2015-10-11,23-341,NYG,,SFO,W 30-27,4,4,48,12.00,0
3,2015,6,2015-10-19,23-349,NYG,@,PHI,L 7-27,3,2,22,11.00,0
4,2015,7,2015-10-25,23-355,NYG,,DAL,W 27-20,2,0,0,,0
5,2015,8,2015-11-01,23-362,NYG,@,NOR,L 49-52,2,2,7,3.50,0
6,2015,9,2015-11-08,24-004,NYG,@,TAM,W 32-18,6,2,19,9.50,0
7,2015,10,2015-11-15,24-011,NYG,,NWE,L 26-27,7,5,56,11.20,0
8,2015,11,2015-11-29,24-025,NYG,@,WAS,L 14-20,8,6,74,12.33,0
,,,8 Games,,,,,4-4-0,33,21,226,10.76,0
