
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2009,2,2009-09-20,23-262,NYG,@,DAL,W 33-31,,,,,
2,2009,3,2009-09-27,23-269,NYG,@,TAM,W 24-0,,,,,
3,2009,16,2010-01-03,24-002,NYG,@,MIN,L 7-44,1,1,16,16.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
4,2010,1,2010-09-12,24-254,NYG,,CAR,W 31-18,1,,,,
5,2010,5,2010-10-10,24-282,NYG,@,HOU,W 34-10,1,1,8,8.00,0
6,2010,6,2010-10-17,24-289,NYG,,DET,W 28-20,,,,,
7,2010,7,2010-10-25,24-297,NYG,@,DAL,W 41-35,1,1,22,22.00,0
8,2010,8,2010-11-07,24-310,NYG,@,SEA,W 41-7,,,,,
9,2010,9,2010-11-14,24-317,NYG,,DAL,L 20-33,4,3,34,11.33,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
10,2011,8,2011-11-06,25-309,NYG,@,NWE,W 24-20,5,2,24,12.00,0
11,2011,9,2011-11-13,25-316,NYG,@,SFO,L 20-27,,,,,
12,2011,10,2011-11-20,25-323,NYG,,PHI,L 10-17,1,1,13,13.00,0
13,2011,11,2011-11-28,25-331,NYG,@,NOR,L 24-49,4,3,38,12.67,0
14,2011,12,2011-12-04,25-337,NYG,,GNB,L 35-38,3,1,9,9.00,0
15,2011,13,2011-12-11,25-344,NYG,@,DAL,W 37-34,,,,,
16,2011,14,2011-12-18,25-351,NYG,,WAS,L 10-23,1,1,6,6.00,0
17,2011,15,2011-12-24,25-357,NYG,@,NYJ,W 29-14,5,1,4,4.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
18,2012,1,2012-09-05,26-248,NYG,,DAL,L 17-24,,,,,
19,2012,2,2012-09-16,26-259,NYG,,TAM,W 41-34,2,1,24,24.00,0
20,2012,3,2012-09-20,26-263,NYG,@,CAR,W 36-7,10,9,138,15.33,0
21,2012,4,2012-09-30,26-273,NYG,@,PHI,L 17-19,4,2,36,18.00,0
22,2012,6,2012-10-14,26-287,NYG,@,SFO,W 26-3,,,,,
23,2012,7,2012-10-21,26-294,NYG,,WAS,W 27-23,,,,,
24,2012,8,2012-10-28,26-301,NYG,@,DAL,W 29-24,1,0,0,,0
25,2012,9,2012-11-04,26-308,NYG,,PIT,L 20-24,,,,,
26,2012,10,2012-11-11,26-315,NYG,@,CIN,L 13-31,3,2,22,11.00,0
27,2012,11,2012-11-25,26-329,NYG,,GNB,W 38-10,,,,,
28,2012,12,2012-12-03,26-337,NYG,@,WAS,L 16-17,,0,0,,0
29,2012,13,2012-12-09,26-343,NYG,,NOR,W 52-27,1,0,0,,0
,,,29 Games,,,,,17-12-0,48,29,394,13.59,0
