
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,2012,1,2012-09-10,23-002,CIN,@,BAL,L 13-44,5,4,28,7.00,0,0,0
2,2012,2,2012-09-16,23-008,CIN,,CLE,W 34-27,5,5,66,13.20,0,0,0
3,2012,3,2012-09-23,23-015,CIN,@,WAS,W 38-31,3,3,63,21.00,1,1,6
4,2012,4,2012-09-30,23-022,CIN,@,JAX,W 27-10,5,0,0,,0,0,0
5,2012,5,2012-10-07,23-029,CIN,,MIA,L 13-17,6,4,41,10.25,0,0,0
6,2012,6,2012-10-14,23-036,CIN,@,CLE,L 24-34,5,2,12,6.00,0,0,0
7,2012,8,2012-11-04,23-057,CIN,,DEN,L 23-31,0,,,,,,
8,2012,10,2012-11-18,23-071,CIN,@,KAN,W 28-6,,,,,,,
9,2012,14,2012-12-16,23-099,MIA,,JAX,W 24-3,,,,,,,
10,2012,15,2012-12-23,23-106,MIA,,BUF,W 24-10,4,3,27,9.00,0,0,0
11,2012,16,2012-12-30,23-113,MIA,@,NWE,L 0-28,7,3,40,13.33,0,0,0
,,,11 Games,,,,,6-5-0,40,24,277,11.54,1,1,6
