
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2013,1,2013-09-08,22-125,NWE,@,BUF,W 23-21,2,0,0,,0,0,0,,0,0.0,0,0
2,2013,2,2013-09-12,22-129,NWE,,NYJ,W 13-10,,,,,,,,,,,,
3,2013,3,2013-09-22,22-139,NWE,,TAM,W 23-3,1,0,0,,0,0,0,,0,0.0,0,0
4,2013,4,2013-09-29,22-146,NWE,@,ATL,W 30-23,3,1,24,24.00,0,0,0,,0,0.0,0,0
5,2013,5,2013-10-06,22-153,NWE,@,CIN,L 6-13,,,,,,,,,,,,
6,2013,10,2013-11-18,22-196,NWE,@,CAR,L 20-24,,,,,,,,,,,,
7,2013,12,2013-12-01,22-209,NWE,@,HOU,W 34-31,1,1,6,6.00,0,6,149,24.83,0,0.0,0,0
8,2013,13,2013-12-08,22-216,NWE,,CLE,W 27-26,5,3,49,16.33,0,2,46,23.00,0,0.0,1,0
9,2013,14,2013-12-15,22-223,NWE,@,MIA,L 20-24,7,4,42,10.50,0,1,19,19.00,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
10,2014,16,2014-12-28,23-236,NWE,,BUF,L 9-17,,,,,,,,,,,,
,,,10 Games,,,,,6-4-0,19,9,121,13.44,0,9,214,23.78,0,0.0,1,0
