
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,1,2013-09-08,23-243,ARI,@,STL,L 24-27,2,1,14,14.00,0,0,0,0.0,0,0
2,2013,2,2013-09-15,23-250,ARI,,DET,W 25-21,2,1,11,11.00,0,0,0,0.0,0,0
3,2013,3,2013-09-22,23-257,ARI,@,NOR,L 7-31,2,0,0,,0,0,0,0.0,0,0
4,2013,4,2013-09-29,23-264,ARI,@,TAM,W 13-10,2,1,19,19.00,0,0,0,0.0,0,0
5,2013,5,2013-10-06,23-271,ARI,,CAR,W 22-6,,,,,,,,,,
6,2013,6,2013-10-13,23-278,ARI,@,SFO,L 20-32,1,1,5,5.00,0,0,0,0.0,0,0
7,2013,7,2013-10-17,23-282,ARI,,SEA,L 22-34,2,3,30,10.00,1,1,6,0.0,0,0
8,2013,8,2013-10-27,23-292,ARI,,ATL,W 27-13,,,,,,,,,,
9,2013,9,2013-11-10,23-306,ARI,,HOU,W 27-24,2,1,7,7.00,0,0,0,0.0,1,0
10,2013,10,2013-11-17,23-313,ARI,@,JAX,W 27-14,0,0,0,,0,0,0,0.0,1,0
11,2013,11,2013-11-24,23-320,ARI,,IND,W 40-11,1,1,16,16.00,0,0,0,0.0,0,1
12,2013,12,2013-12-01,23-327,ARI,@,PHI,L 21-24,1,1,6,6.00,0,0,0,0.0,0,0
13,2013,13,2013-12-08,23-334,ARI,,STL,W 30-10,1,1,32,32.00,0,0,0,0.0,2,0
14,2013,14,2013-12-15,23-341,ARI,@,TEN,W 37-34,,,,,,,,,,
15,2013,15,2013-12-22,23-348,ARI,@,SEA,W 17-10,,,,,,,,,,
16,2013,16,2013-12-29,23-355,ARI,,SFO,L 20-23,1,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2014,1,2014-09-08,24-243,ARI,,SDG,W 18-17,1,1,6,6.00,0,0,0,0.0,0,0
18,2014,2,2014-09-14,24-249,ARI,@,NYG,W 25-14,0,0,0,,0,0,0,0.0,1,0
19,2014,3,2014-09-21,24-256,ARI,,SFO,W 23-14,1,0,0,,0,0,0,0.0,1,0
20,2014,4,2014-10-05,24-270,ARI,@,DEN,L 20-41,0,0,0,,0,0,0,0.0,1,0
21,2014,5,2014-10-12,24-277,ARI,,WAS,W 30-20,1,0,0,,0,0,0,0.0,0,0
22,2014,6,2014-10-19,24-284,ARI,@,OAK,W 24-13,1,1,9,9.00,0,0,0,0.0,0,0
23,2014,7,2014-10-26,24-291,ARI,,PHI,W 24-20,1,1,7,7.00,0,0,0,0.0,1,0
24,2014,8,2014-11-02,24-298,ARI,@,DAL,W 28-17,2,2,15,7.50,1,1,6,0.0,1,0
25,2014,9,2014-11-09,24-305,ARI,,STL,W 31-14,3,3,35,11.67,0,0,0,0.0,1,0
26,2014,10,2014-11-16,24-312,ARI,,DET,W 14-6,2,1,4,4.00,0,0,0,0.0,0,0
27,2014,11,2014-11-23,24-319,ARI,@,SEA,L 3-19,6,3,24,8.00,0,0,0,0.0,0,0
28,2014,12,2014-11-30,24-326,ARI,@,ATL,L 18-29,9,7,75,10.71,0,0,0,0.0,1,0
29,2014,13,2014-12-07,24-333,ARI,,KAN,W 17-14,3,2,48,24.00,1,1,6,0.0,0,1
30,2014,14,2014-12-11,24-337,ARI,@,STL,W 12-6,,,,,,,,,,
31,2014,15,2014-12-21,24-347,ARI,,SEA,L 6-35,2,1,6,6.00,0,0,0,0.0,0,0
32,2014,16,2014-12-28,24-354,ARI,@,SFO,L 17-20,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
33,2015,1,2015-09-13,25-248,ARI,,NOR,W 31-19,1,1,8,8.00,0,0,0,0.0,0,0
34,2015,2,2015-09-20,25-255,ARI,@,CHI,W 48-23,3,2,20,10.00,1,1,6,0.0,0,0
35,2015,3,2015-09-27,25-262,ARI,,SFO,W 47-7,0,0,0,,0,0,0,0.0,0,0
36,2015,4,2015-10-04,25-269,ARI,,STL,L 22-24,2,1,20,20.00,0,0,0,0.0,0,0
37,2015,5,2015-10-11,25-276,ARI,@,DET,W 42-17,0,0,0,,0,0,0,0.0,0,0
38,2015,6,2015-10-18,25-283,ARI,@,PIT,L 13-25,4,0,0,,0,0,0,0.0,0,0
39,2015,7,2015-10-26,25-291,ARI,,BAL,W 26-18,1,1,3,3.00,0,0,0,0.0,0,0
40,2015,8,2015-11-01,25-297,ARI,@,CLE,W 34-20,4,1,39,39.00,0,0,0,0.0,0,0
41,2015,9,2015-11-15,25-311,ARI,@,SEA,W 39-32,5,3,38,12.67,0,0,0,0.0,0,0
42,2015,10,2015-11-22,25-318,ARI,,CIN,W 34-31,0,0,0,,0,0,0,0.0,0,0
43,2015,11,2015-11-29,25-325,ARI,@,SFO,W 19-13,0,0,0,,0,0,0,0.0,0,0
,,,43 Games,,,,,30-13-0,69,42,497,11.83,4,4,24,0.0,11,2
