
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,2,2013-09-12,22-091,NWE,,NYJ,W 13-10,10,3,56,18.67,1,1,6,0.0,0,0
2,2013,3,2013-09-22,22-101,NWE,,TAM,W 23-3,10,7,52,7.43,0,0,0,0.0,0,0
3,2013,4,2013-09-29,22-108,NWE,@,ATL,W 30-23,3,1,10,10.00,0,0,0,0.0,0,0
4,2013,5,2013-10-06,22-115,NWE,@,CIN,L 6-13,4,2,49,24.50,0,0,0,0.0,1,0
5,2013,6,2013-10-13,22-122,NWE,,NOR,W 30-27,10,6,63,10.50,0,0,0,0.0,0,0
6,2013,7,2013-10-20,22-129,NWE,@,NYJ,L 27-30,7,3,34,11.33,0,0,0,0.0,0,0
7,2013,8,2013-10-27,22-136,NWE,,MIA,W 27-17,5,4,60,15.00,1,1,6,0.0,0,0
8,2013,9,2013-11-03,22-143,NWE,,PIT,W 55-31,9,5,130,26.00,2,2,12,0.0,0,0
9,2013,10,2013-11-18,22-158,NWE,@,CAR,L 20-24,7,4,38,9.50,0,0,0,0.0,0,0
10,2013,11,2013-11-24,22-164,NWE,,DEN,W 34-31,,,,,,,,,,
11,2013,15,2013-12-22,22-192,NWE,@,BAL,W 41-7,4,1,21,21.00,0,0,0,0.0,0,0
12,2013,16,2013-12-29,22-199,NWE,,BUF,W 34-20,3,1,6,6.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
13,2014,2,2014-09-14,23-093,NWE,@,MIN,W 30-7,2,1,13,13.00,0,0,0,0.0,0,0
14,2014,5,2014-10-05,23-114,NWE,,CIN,W 43-17,1,1,16,16.00,0,0,0,0.0,0,0
15,2014,6,2014-10-12,23-121,NWE,@,BUF,W 37-22,1,1,9,9.00,0,0,0,0.0,0,0
16,2014,12,2014-11-30,23-170,NWE,@,GNB,L 21-26,1,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2015,1,2015-09-10,24-089,NWE,,PIT,W 28-21,1,1,9,9.00,0,0,0,0.0,0,0
18,2015,2,2015-09-20,24-099,NWE,@,BUF,W 40-32,8,7,87,12.43,0,0,0,0.0,0,0
19,2015,3,2015-09-27,24-106,NWE,,JAX,W 51-17,3,1,5,5.00,0,0,0,0.0,0,0
20,2015,6,2015-10-25,24-134,NWE,,NYJ,W 30-23,3,2,18,9.00,0,0,0,0.0,0,0
21,2015,7,2015-10-29,24-138,NWE,,MIA,W 36-7,0,0,0,,0,0,0,0.0,0,0
22,2015,8,2015-11-08,24-148,NWE,,WAS,W 27-10,0,0,0,,0,0,0,0.0,0,0
23,2015,9,2015-11-15,24-155,NWE,@,NYG,W 27-26,4,1,5,5.00,0,0,0,0.0,0,0
24,2015,10,2015-11-23,24-163,NWE,,BUF,W 20-13,2,1,17,17.00,0,0,0,0.0,0,0
,,,24 Games,,,,,20-4-0,98,53,698,13.17,4,4,24,0.0,1,0
