
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2013,2,2013-09-15,22-118,TEN,@,HOU,L 24-30,,,,,,,,,,
2,2013,3,2013-09-22,22-125,TEN,,SDG,W 20-17,2,1,34,34.00,1,1,6,0.0,0,0
3,2013,4,2013-09-29,22-132,TEN,,NYJ,W 38-13,1,1,16,16.00,1,1,6,0.0,0,0
4,2013,5,2013-10-06,22-139,TEN,,KAN,L 17-26,3,0,0,,0,0,0,0.0,0,0
5,2013,6,2013-10-13,22-146,TEN,@,SEA,L 13-20,1,1,8,8.00,0,0,0,0.0,0,0
6,2013,7,2013-10-20,22-153,TEN,,SFO,L 17-31,2,0,0,,0,0,0,0.0,0,0
7,2013,8,2013-11-03,22-167,TEN,@,STL,W 28-21,2,2,13,6.50,0,0,0,0.0,0,0
8,2013,9,2013-11-10,22-174,TEN,,JAX,L 27-29,7,2,51,25.50,0,0,0,0.0,0,0
9,2013,10,2013-11-14,22-178,TEN,,IND,L 27-30,1,0,0,,0,0,0,0.0,0,0
10,2013,11,2013-11-24,22-188,TEN,@,OAK,W 23-19,6,6,109,18.17,1,1,6,0.0,0,0
11,2013,12,2013-12-01,22-195,TEN,@,IND,L 14-22,5,1,9,9.00,0,0,0,0.0,0,0
12,2013,13,2013-12-08,22-202,TEN,@,DEN,L 28-51,8,4,114,28.50,1,1,6,0.0,0,0
13,2013,15,2013-12-22,22-216,TEN,@,JAX,W 20-16,1,0,0,,0,0,0,0.0,0,0
14,2013,16,2013-12-29,22-223,TEN,,HOU,W 16-10,3,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2014,1,2014-09-07,23-110,TEN,@,KAN,W 26-10,8,3,63,21.00,0,0,0,0.0,0,0
16,2014,2,2014-09-14,23-117,TEN,,DAL,L 10-26,6,2,26,13.00,0,0,0,0.0,0,0
17,2014,3,2014-09-21,23-124,TEN,@,CIN,L 7-33,7,3,37,12.33,0,0,0,0.0,0,0
18,2014,4,2014-09-28,23-131,TEN,@,IND,L 17-41,5,1,12,12.00,0,0,0,0.0,1,0
19,2014,5,2014-10-05,23-138,TEN,,CLE,L 28-29,5,3,99,33.00,1,1,6,0.0,0,0
20,2014,6,2014-10-12,23-145,TEN,,JAX,W 16-14,5,3,77,25.67,0,0,0,0.0,0,0
21,2014,7,2014-10-19,23-152,TEN,@,WAS,L 17-19,2,1,6,6.00,0,0,0,0.0,0,0
22,2014,8,2014-10-26,23-159,TEN,,HOU,L 16-30,10,4,31,7.75,1,1,6,0.0,0,0
23,2014,9,2014-11-09,23-173,TEN,@,BAL,L 7-21,2,1,17,17.00,0,0,0,0.0,0,0
24,2014,10,2014-11-17,23-181,TEN,,PIT,L 24-27,4,2,48,24.00,0,0,0,0.0,0,0
25,2014,11,2014-11-23,23-187,TEN,@,PHI,L 24-43,10,4,64,16.00,1,1,6,0.0,1,0
26,2014,12,2014-11-30,23-194,TEN,@,HOU,L 21-45,3,1,18,18.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
27,2015,1,2015-09-13,24-116,TEN,@,TAM,W 42-14,2,1,11,11.00,0,0,0,0.0,0,0
28,2015,2,2015-09-20,24-123,TEN,@,CLE,L 14-28,2,2,34,17.00,0,0,0,0.0,0,0
29,2015,3,2015-09-27,24-130,TEN,,IND,L 33-35,2,1,29,29.00,0,0,0,0.0,0,0
30,2015,4,2015-10-11,24-144,TEN,,BUF,L 13-14,6,4,38,9.50,0,0,0,0.0,0,0
31,2015,5,2015-10-18,24-151,TEN,,MIA,L 10-38,4,3,54,18.00,0,0,0,0.0,0,0
32,2015,6,2015-10-25,24-158,TEN,,ATL,L 7-10,4,2,17,8.50,0,0,0,0.0,0,0
33,2015,7,2015-11-01,24-165,TEN,@,HOU,L 6-20,3,2,17,8.50,0,0,0,0.0,0,0
34,2015,8,2015-11-08,24-172,TEN,@,NOR,W 34-28,4,3,17,5.67,1,1,6,0.0,0,0
35,2015,9,2015-11-15,24-179,TEN,,CAR,L 10-27,4,4,47,11.75,0,0,0,0.0,0,0
,,,35 Games,,,,,10-25-0,140,68,1116,16.41,8,8,48,0.0,2,0
