
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2008,2,2008-09-14,23-352,NOR,@,WAS,L 24-29,1,1,19,19.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
2,2008,3,2008-09-21,23-359,NOR,@,DEN,L 32-34,2,2,86,43.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2008,4,2008-09-28,24-000,NOR,,SFO,W 31-17,3,2,99,49.50,1,0,0,,0,0,0,,0,1,6,0.0,0,0
4,2008,5,2008-10-06,24-008,NOR,,MIN,L 27-30,3,2,31,15.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2008,6,2008-10-12,24-014,NOR,,OAK,W 34-3,,,,,,,,,,,,,,,,,,
6,2008,7,2008-10-19,24-021,NOR,@,CAR,L 7-30,3,1,9,9.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2008,8,2008-10-26,24-028,NOR,,SDG,W 37-32,,,,,,,,,,,,,,,,,,
8,2008,10,2008-11-16,24-049,NOR,@,KAN,W 30-20,,,,,,,,,,,,,,,,,,
9,2008,11,2008-11-24,24-057,NOR,,GNB,W 51-29,,,,,,,,,,,,,,,,,,
10,2008,12,2008-11-30,24-063,NOR,@,TAM,L 20-23,1,1,9,9.00,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
11,2008,13,2008-12-07,24-070,NOR,,ATL,W 29-25,,,,,,,,,,,,,,,,,,
12,2008,14,2008-12-11,24-074,NOR,@,CHI,L 24-27,1,,,,,,,,,,,,,,,,,
13,2008,15,2008-12-21,24-084,NOR,@,DET,W 42-7,1,0,0,,0,1,20,20.00,1,0,0,,0,1,6,0.0,1,0
14,2008,16,2008-12-28,24-091,NOR,,CAR,L 31-33,5,3,36,12.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
15,2009,1,2009-09-13,24-350,NOR,,DET,W 45-27,2,2,51,25.50,1,0,0,,0,6,148,24.67,0,1,6,0.0,0,0
16,2009,2,2009-09-20,24-357,NOR,@,PHI,W 48-22,2,1,11,11.00,0,1,15,15.00,0,0,0,,0,0,0,0.0,0,0
17,2009,3,2009-09-27,24-364,NOR,@,BUF,W 27-7,1,,,,,,,,,,,,,,,,,
18,2009,4,2009-10-04,25-006,NOR,,NYJ,W 24-10,3,1,19,19.00,0,1,13,13.00,0,0,0,,0,0,0,0.0,0,0
19,2009,5,2009-10-18,25-020,NOR,,NYG,W 48-27,3,2,70,35.00,1,1,2,2.00,0,0,0,,0,1,6,0.0,0,0
20,2009,6,2009-10-25,25-027,NOR,@,MIA,W 46-34,,,,,,,,,,,,,,,,,,
21,2009,7,2009-11-02,25-035,NOR,,ATL,W 35-27,2,2,47,23.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2009,8,2009-11-08,25-041,NOR,,CAR,W 30-20,6,5,98,19.60,1,0,0,,0,0,0,,0,1,6,0.0,0,0
23,2009,9,2009-11-15,25-048,NOR,@,STL,W 28-23,1,1,27,27.00,1,1,41,41.00,0,0,0,,0,1,6,0.0,0,0
24,2009,10,2009-11-22,25-055,NOR,@,TAM,W 38-7,3,2,10,5.00,2,0,0,,0,0,0,,0,2,12,0.0,0,0
25,2009,11,2009-11-30,25-063,NOR,,NWE,W 38-17,6,5,69,13.80,1,0,0,,0,0,0,,0,1,6,0.0,0,0
26,2009,12,2009-12-06,25-069,NOR,@,WAS,W 33-30,10,8,142,17.75,1,0,0,,0,0,0,,0,2,12,0.0,1,0
27,2009,13,2009-12-13,25-076,NOR,@,ATL,W 26-23,5,4,57,14.25,0,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
28,2009,14,2009-12-19,25-082,NOR,,DAL,L 17-24,6,5,43,8.60,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2009,15,2009-12-27,25-090,NOR,,TAM,L 17-20,5,5,66,13.20,1,1,7,7.00,0,0,0,,0,1,6,0.0,0,0
30,2009,16,2010-01-03,25-097,NOR,@,CAR,L 10-23,9,2,12,6.00,0,0,0,,0,0,0,,0,0,0,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
31,2010,1,2010-09-09,25-346,NOR,,MIN,W 14-9,4,3,33,11.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2010,2,2010-09-20,25-357,NOR,@,SFO,W 25-22,1,,,,,,,,,,,,,,,,,
33,2010,3,2010-09-26,25-363,NOR,,ATL,L 24-27,2,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2010,4,2010-10-03,26-005,NOR,,CAR,W 16-14,3,2,16,8.00,0,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
35,2010,5,2010-10-10,26-012,NOR,@,ARI,L 20-30,4,4,57,14.25,1,0,0,,0,0,0,,0,1,6,0.0,0,0
36,2010,6,2010-10-17,26-019,NOR,@,TAM,W 31-6,5,4,71,17.75,1,0,0,,0,0,0,,0,1,6,0.0,0,0
37,2010,7,2010-10-24,26-026,NOR,,CLE,L 17-30,5,2,31,15.50,0,1,2,2.00,0,0,0,,0,0,0,0.0,1,0
38,2010,8,2010-10-31,26-033,NOR,,PIT,W 20-10,6,6,76,12.67,0,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2010,9,2010-11-07,26-040,NOR,@,CAR,W 34-3,5,2,15,7.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2010,10,2010-11-21,26-054,NOR,,SEA,W 34-19,3,3,50,16.67,2,1,8,8.00,0,0,0,,0,2,12,0.0,0,0
41,2010,11,2010-11-25,26-058,NOR,@,DAL,W 30-27,1,1,55,55.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2010,12,2010-12-05,26-068,NOR,@,CIN,W 34-30,3,3,106,35.33,1,0,0,,0,0,0,,0,1,6,0.0,0,0
43,2010,13,2010-12-12,26-075,NOR,,STL,W 31-13,3,,,,,,,,,,,,,,,,,
44,2010,14,2010-12-19,26-082,NOR,@,BAL,L 24-30,6,2,17,8.50,0,0,0,,0,0,0,,0,0,0,0.0,1,0
45,2010,15,2010-12-27,26-090,NOR,@,ATL,W 17-14,13,10,101,10.10,0,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2010,16,2011-01-02,26-096,NOR,,TAM,L 13-23,2,1,5,5.00,0,1,-3,-3.00,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
47,2011,1,2011-09-08,26-345,NOR,@,GNB,L 34-42,8,5,70,14.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
