
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2010,1,2010-09-12,23-009,MIA,@,BUF,W 15-10,1,,,,,,,,,,,,,,,,,
2,2010,2,2010-09-19,23-016,MIA,@,MIN,W 14-10,,,,,,,,,,,,,,,,,,
3,2010,9,2010-11-14,23-072,MIA,,TEN,W 29-17,,,,,,,,,,,,,,,,,,
4,2010,10,2010-11-18,23-076,MIA,,CHI,L 0-16,3,2,20,10.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2010,11,2010-11-28,23-086,MIA,@,OAK,W 33-17,4,1,57,57.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
6,2010,12,2010-12-05,23-093,MIA,,CLE,L 10-13,2,,,,,,,,,,,,,,,,,
7,2010,13,2010-12-12,23-100,MIA,@,NYJ,W 10-6,1,,,,,,,,,,,,,,,,,
8,2010,15,2010-12-26,23-114,MIA,,DET,L 27-34,1,1,5,5.00,0,1,16,16.00,0,0,0,,0,0,0,0.0,0,0
9,2010,16,2011-01-02,23-121,MIA,@,NWE,L 7-38,7,2,46,23.00,0,0,0,,0,2,51,25.50,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
10,2011,2,2011-09-18,24-015,MIA,,HOU,L 13-23,,,,,,,,,,,,,,,,,,
11,2011,3,2011-09-25,24-022,MIA,@,CLE,L 16-17,,,,,,,,,,,,,,,,,,
12,2011,4,2011-10-02,24-029,MIA,@,SDG,L 16-26,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,5,2011-10-17,24-044,MIA,@,NYJ,L 6-24,,,,,,,,,,,,,,,,,,
14,2011,6,2011-10-23,24-050,MIA,,DEN,L 15-18,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2011,7,2011-10-30,24-057,MIA,@,NYG,L 17-20,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
16,2012,1,2012-09-09,25-006,MIA,@,HOU,L 10-30,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,2,2012-09-16,25-013,MIA,,OAK,W 35-13,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2012,5,2012-10-07,25-034,MIA,@,CIN,W 17-13,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2012,6,2012-10-14,25-041,MIA,,STL,W 17-14,,3,46,15.33,1,0,0,,0,0,0,,0,1,6,0.0,0,0
20,2012,7,2012-10-28,25-055,MIA,@,NYJ,W 30-9,,1,37,37.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2012,8,2012-11-04,25-062,MIA,@,IND,L 20-23,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
22,2012,9,2012-11-11,25-069,MIA,,TEN,L 3-37,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2012,10,2012-11-15,25-073,MIA,@,BUF,L 14-19,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2012,11,2012-11-25,25-083,MIA,,SEA,W 24-21,,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
25,2012,12,2012-12-02,25-090,MIA,,NWE,L 16-23,,,,,,,,,,,,,,,,,,
26,2012,13,2012-12-09,25-097,MIA,@,SFO,L 13-27,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
27,2012,14,2012-12-16,25-104,MIA,,JAX,W 24-3,2,2,33,16.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2012,15,2012-12-23,25-111,MIA,,BUF,W 24-10,2,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2012,16,2012-12-30,25-118,MIA,@,NWE,L 0-28,,,,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
30,2013,1,2013-09-08,26-005,SFO,,GNB,W 34-28,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2013,2,2013-09-15,26-012,SFO,@,SEA,L 3-29,1,1,6,6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2013,3,2013-09-22,26-019,SFO,,IND,L 7-27,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2013,5,2013-10-06,26-033,SFO,,HOU,W 34-3,,,,,,,,,,,,,,,,,,
34,2013,6,2013-10-13,26-040,SFO,,ARI,W 32-20,1,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
35,2013,8,2013-10-27,26-054,SFO,@,JAX,W 42-10,,,,,,,,,,,,,,,,,,
36,2013,9,2013-11-11,26-069,MIA,@,TAM,L 19-22,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
37,2013,10,2013-11-17,26-075,MIA,,SDG,W 20-16,,,,,,,,,,,,,,,,,,
38,2013,11,2013-11-24,26-082,MIA,,CAR,L 16-20,2,2,20,10.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
39,2013,12,2013-12-01,26-089,MIA,@,NYJ,W 23-3,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
40,2013,13,2013-12-08,26-096,MIA,@,PIT,W 34-28,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
41,2013,14,2013-12-15,26-103,MIA,,NWE,W 24-20,1,1,11,11.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
42,2013,15,2013-12-22,26-110,MIA,@,BUF,L 0-19,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1
43,2013,16,2013-12-29,26-117,MIA,,NYJ,L 7-20,7,3,25,8.33,0,0,0,,0,0,0,,0,0,0,0.0,1,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
44,2014,2,2014-09-14,27-011,CLE,,NOR,W 26-24,0,0,0,,0,0,0,,0,1,32,32.00,0,0,0,0.0,0,0
45,2014,3,2014-09-21,27-018,CLE,,BAL,L 21-23,0,0,0,,0,0,0,,0,1,31,31.00,0,0,0,0.0,0,0
46,2014,4,2014-10-05,27-032,CLE,@,TEN,W 29-28,0,0,0,,0,0,0,,0,2,45,22.50,0,0,0,0.0,0,0
