
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2011,1,2011-09-11,23-310,JAX,,TEN,W 16-14,,,,,
2,2011,2,2011-09-18,23-317,JAX,@,NYJ,L 3-32,1,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
3,2012,11,2012-11-25,25-020,KAN,,DEN,L 9-17,3,1,10,10.00,0
4,2012,12,2012-12-02,25-027,KAN,,CAR,W 27-21,1,1,4,4.00,0
5,2012,13,2012-12-09,25-034,KAN,@,CLE,L 7-30,5,1,25,25.00,0
6,2012,14,2012-12-16,25-041,KAN,@,OAK,L 0-15,4,1,6,6.00,0
7,2012,15,2012-12-23,25-048,KAN,,IND,L 13-20,2,1,28,28.00,0
8,2012,16,2012-12-30,25-055,KAN,@,DEN,L 3-38,1,0,0,,0
,,,8 Games,,,,,2-6-0,17,5,73,14.60,0
