
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
1,2009,12,2009-12-06,23-068,PHI,@,ATL,W 34-7,,,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
2,2011,1,2011-09-11,24-347,CLE,,CIN,L 17-27,1,1,6,6.00,0,0,0,,0,0,0,,0,0,0
3,2011,2,2011-09-18,24-354,CLE,@,IND,W 27-19,,,,,,,,,,,,,,,
4,2011,3,2011-09-25,24-361,CLE,,MIA,W 17-16,0,0,0,,0,0,0,,0,1,6,6.00,0,0,0
5,2011,4,2011-10-02,25-003,CLE,,TEN,L 13-31,1,1,19,19.00,0,0,0,,0,0,0,,0,0,0
6,2011,5,2011-10-16,25-017,CLE,@,OAK,L 17-24,0,,,,,,,,,,,,,,
7,2011,6,2011-10-23,25-024,CLE,,SEA,W 6-3,,,,,,,,,,,,,,,
8,2011,7,2011-10-30,25-031,CLE,@,SFO,L 10-20,6,5,32,6.40,0,0,0,,0,0,0,,0,0,0
9,2011,8,2011-11-06,25-038,CLE,@,HOU,L 12-30,1,1,6,6.00,0,0,0,,0,0,0,,0,0,0
10,2011,9,2011-11-13,25-045,CLE,,STL,L 12-13,3,2,14,7.00,0,0,0,,0,0,0,,0,0,0
11,2011,10,2011-11-20,25-052,CLE,,JAX,W 14-10,2,1,51,51.00,0,0,0,,0,0,0,,0,0,0
12,2011,11,2011-11-27,25-059,CLE,@,CIN,L 20-23,5,4,69,17.25,1,0,0,,0,0,0,,0,1,6
13,2011,12,2011-12-04,25-066,CLE,,BAL,L 10-24,5,3,29,9.67,0,0,0,,0,0,0,,0,0,0
14,2011,13,2011-12-08,25-070,CLE,@,PIT,L 3-14,4,2,21,10.50,0,0,0,,0,3,29,9.67,0,0,0
15,2011,14,2011-12-18,25-080,CLE,@,ARI,L 17-20,6,3,21,7.00,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
16,2012,4,2012-09-27,25-364,CLE,@,BAL,L 16-23,10,4,56,14.00,0,0,0,,0,0,0,,0,0,0
17,2012,5,2012-10-07,26-008,CLE,@,NYG,L 27-41,9,9,81,9.00,0,1,1,1.00,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts
18,2015,1,2015-09-13,28-349,DEN,,BAL,W 19-13,5,2,25,12.50,0,0,0,,0,0,0,,0,0,0
19,2015,2,2015-09-17,28-353,DEN,@,KAN,W 31-24,5,3,14,4.67,0,0,0,,0,0,0,,0,0,0
20,2015,3,2015-09-27,28-363,DEN,@,DET,W 24-12,3,3,27,9.00,0,0,0,,0,0,0,,0,0,0
21,2015,4,2015-10-04,29-005,DEN,,MIN,W 23-20,0,0,0,,0,0,0,,0,0,0,,0,0,0
22,2015,5,2015-10-11,29-012,DEN,@,OAK,W 16-10,3,2,15,7.50,0,0,0,,0,0,0,,0,0,0
23,2015,6,2015-10-18,29-019,DEN,@,CLE,W 26-23,2,1,-1,-1.00,0,0,0,,0,1,0,0.00,0,0,0
24,2015,7,2015-11-01,29-033,DEN,,GNB,W 29-10,0,0,0,,0,0,0,,0,0,0,,0,0,0
25,2015,10,2015-11-22,29-054,DEN,@,CHI,W 17-15,1,1,8,8.00,0,0,0,,0,0,0,,0,0,0
,,,25 Games,,,,,13-12-0,72,48,493,10.27,1,1,1,1.00,0,5,35,7.00,0,1,6
