
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2012,9,2012-11-11,22-310,TAM,,SDG,W 34-24,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2012,11,2012-11-25,22-324,TAM,,ATL,L 23-24,1,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2012,12,2012-12-02,22-331,TAM,@,DEN,L 23-31,,,,,,,,,,,,,,,,,,
4,2012,13,2012-12-09,22-338,TAM,,PHI,L 21-23,,,,,,,,,,,,,,,,,,
5,2012,14,2012-12-16,22-345,TAM,@,NOR,L 0-41,2,1,24,24.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
6,2013,5,2013-10-13,23-280,TAM,,PHI,L 20-31,4,3,28,9.33,0,0,0,,0,0,0,,0,0,0,0.0,1,0
7,2013,6,2013-10-20,23-287,TAM,@,ATL,L 23-31,3,3,27,9.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2013,10,2013-11-17,23-315,TAM,,ATL,W 41-28,,,,,,,,,,,,,,,,,,
9,2013,11,2013-11-24,23-322,TAM,@,DET,W 24-21,,,,,,,,,,,,,,,,,,
10,2013,12,2013-12-01,23-329,TAM,@,CAR,L 6-27,3,1,20,20.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2013,13,2013-12-08,23-336,TAM,,BUF,W 27-6,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
12,2013,14,2013-12-15,23-343,TAM,,SFO,L 14-33,5,3,21,7.00,0,0,0,,0,0,0,,0,0,0,0.0,1,0
13,2013,15,2013-12-22,23-350,TAM,@,STL,L 13-23,3,2,13,6.50,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2013,16,2013-12-29,23-357,TAM,@,NOR,L 17-42,2,1,5,5.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
15,2014,1,2014-09-07,24-244,TAM,,CAR,L 14-20,2,2,20,10.00,1,0,0,,0,0,0,,0,1,6,0.0,0,0
16,2014,2,2014-09-14,24-251,TAM,,STL,L 17-19,0,0,0,,0,0,0,,0,1,45,45.00,0,0,0,0.0,0,0
17,2014,3,2014-09-18,24-255,TAM,@,ATL,L 14-56,,,,,,,,,,,,,,,,,,
18,2014,8,2014-10-26,24-293,NYJ,,BUF,L 23-43,1,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2014,13,2014-12-07,24-335,NYJ,@,MIN,L 24-30,1,1,7,7.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2014,14,2014-12-14,24-342,NYJ,@,TEN,W 16-11,1,1,8,8.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2014,15,2014-12-21,24-349,NYJ,,NWE,L 16-17,,,,,,,,,,,,,,,,,,
22,2014,16,2014-12-28,24-356,NYJ,@,MIA,W 37-24,1,1,36,36.00,0,1,23,23.00,1,2,102,51.00,0,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
23,2015,1,2015-09-13,25-250,NYJ,,CLE,W 31-10,6,4,55,13.75,0,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2015,2,2015-09-21,25-258,NYJ,@,IND,W 20-7,3,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
25,2015,6,2015-10-25,25-292,NYJ,@,NWE,L 23-30,4,2,25,12.50,0,0,0,,0,2,58,29.00,0,0,0,0.0,0,0
,,,25 Games,,,,,8-17-0,43,26,296,11.38,1,1,23,23.00,1,5,205,41.00,0,2,12,0.0,3,0
