
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2013,1,2013-09-08,23-030,SFO,,GNB,W 34-28,,,,,,,,,,,,,,,
2,2013,2,2013-09-15,23-037,SFO,@,SEA,L 3-29,,,,,,,,,,,,,,,
3,2013,3,2013-09-22,23-044,SFO,,IND,L 7-27,1,0,0,,0,0,0,,0,1,7,7.00,0,0,0
4,2013,4,2013-09-26,23-048,SFO,@,STL,W 35-11,1,1,0,0.00,0,0,0,,0,0,0,,0,0,0
5,2013,15,2013-12-23,23-136,SFO,,ATL,W 34-24,,,,,,,,,,,,,,,
6,2013,16,2013-12-29,23-142,SFO,@,ARI,W 23-20,3,2,34,17.00,0,1,26,26.00,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,2014,13,2014-12-07,24-120,SFO,@,OAK,L 13-24,1,0,0,,0,0,0,,0,0,0,,0,0,0
8,2014,14,2014-12-14,24-127,SFO,@,SEA,L 7-17,,,,,,,,,,,,,,,
9,2014,15,2014-12-20,24-133,SFO,,SDG,L 35-38,6,2,9,4.50,0,1,20,20.00,0,1,24,24.00,0,0,0
10,2014,16,2014-12-28,24-141,SFO,,ARI,W 20-17,1,1,35,35.00,0,0,0,,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
11,2015,1,2015-09-14,25-036,SFO,,MIN,W 20-3,1,0,0,,0,0,0,,0,0,0,,0,0,0
12,2015,2,2015-09-20,25-042,SFO,@,PIT,L 18-43,4,4,25,6.25,0,0,0,,0,0,0,,0,0,0
13,2015,3,2015-09-27,25-049,SFO,@,ARI,L 7-47,3,1,7,7.00,0,0,0,,0,0,0,,0,0,0
14,2015,4,2015-10-04,25-056,SFO,,GNB,L 3-17,2,2,53,26.50,0,0,0,,0,0,0,,0,0,0
15,2015,5,2015-10-11,25-063,SFO,@,NYG,L 27-30,3,2,6,3.00,0,0,0,,0,0,0,,0,0,0
16,2015,6,2015-10-18,25-070,SFO,,BAL,W 25-20,3,2,38,19.00,1,0,0,,0,0,0,,0,1,6
17,2015,7,2015-10-22,25-074,SFO,,SEA,L 3-20,3,1,2,2.00,0,0,0,,0,1,31,31.00,0,0,0
18,2015,8,2015-11-01,25-084,SFO,@,STL,L 6-27,4,2,33,16.50,0,0,0,,0,0,0,,0,0,0
19,2015,9,2015-11-08,25-091,SFO,,ATL,W 17-16,5,3,70,23.33,0,0,0,,0,0,0,,0,0,0
20,2015,10,2015-11-22,25-105,SFO,@,SEA,L 13-29,3,2,15,7.50,0,0,0,,0,0,0,,0,0,0
21,2015,11,2015-11-29,25-112,SFO,,ARI,L 13-19,6,1,1,1.00,0,1,5,5.00,0,1,18,18.00,0,0,0
,,,21 Games,,,,,8-13-0,50,26,328,12.62,1,3,51,17.00,0,4,80,20.00,0,1,6
