
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2011,3,2011-09-25,23-141,STL,,BAL,L 7-37,2,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
2,2011,4,2011-10-02,23-148,STL,,WAS,L 10-17,7,4,32,8.00,0,0,0,,0,1,19,19.00,0,3,0,0.00,0,0,0,0.0,0,0
3,2011,5,2011-10-16,23-162,STL,@,GNB,L 3-24,0,0,0,,0,0,0,,0,0,0,,0,2,56,28.00,0,0,0,0.0,0,0
4,2011,6,2011-10-23,23-169,STL,@,DAL,L 7-34,0,0,0,,0,0,0,,0,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
5,2011,7,2011-10-30,23-176,STL,,NOR,W 31-21,1,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2011,8,2011-11-06,23-183,STL,@,ARI,L 13-19,5,4,43,10.75,0,0,0,,0,2,43,21.50,0,3,26,8.67,0,0,0,0.0,0,0
7,2011,9,2011-11-13,23-190,STL,@,CLE,W 13-12,4,3,31,10.33,0,0,0,,0,0,0,,0,3,25,8.33,0,0,0,0.0,1,0
8,2011,10,2011-11-20,23-197,STL,,SEA,L 7-24,5,2,12,6.00,0,0,0,,0,0,0,,0,3,23,7.67,0,0,0,0.0,1,0
9,2011,11,2011-11-27,23-204,STL,,ARI,L 20-23,4,3,45,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2011,12,2011-12-04,23-211,STL,@,SFO,L 0-26,7,3,33,11.00,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,13,2011-12-12,23-219,STL,@,SEA,L 13-30,4,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2011,14,2011-12-18,23-225,STL,,CIN,L 13-20,9,4,38,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
13,2012,3,2012-09-23,24-139,STL,@,CHI,L 6-23,,,,,,,,,,,,,,,,,,,,,,
14,2012,4,2012-09-30,24-146,STL,,SEA,W 19-13,2,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2012,5,2012-10-04,24-150,STL,,ARI,W 17-3,2,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2012,6,2012-10-14,24-160,STL,@,MIA,L 14-17,3,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
17,2012,7,2012-10-21,24-167,STL,,GNB,L 20-30,3,2,17,8.50,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
18,2012,8,2012-10-28,24-174,STL,,NWE,L 7-45,5,3,15,5.00,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
19,2012,9,2012-11-11,24-188,STL,@,SFO,T 24-24,4,3,15,5.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
20,2012,10,2012-11-18,24-195,STL,,NYJ,L 13-27,6,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2012,11,2012-11-25,24-202,STL,@,ARI,W 31-17,2,0,0,,0,0,0,,0,0,0,,0,4,18,4.50,0,0,0,0.0,0,0
22,2012,12,2012-12-02,24-209,STL,,SFO,W 16-13,4,2,12,6.00,0,0,0,,0,1,13,13.00,0,4,36,9.00,0,0,0,0.0,0,0
23,2012,13,2012-12-09,24-216,STL,@,BUF,W 15-12,5,5,33,6.60,0,0,0,,0,0,0,,0,2,23,11.50,0,0,0,0.0,0,0
24,2012,14,2012-12-16,24-223,STL,,MIN,L 22-36,6,5,55,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
