
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,2012,4,2012-09-30,23-235,HOU,,TEN,W 38-14,,,,,,,,,
2,2012,5,2012-10-08,23-243,HOU,@,NYJ,W 23-17,0,0,0,,0,1,-3,-3.00,0
3,2012,6,2012-10-14,23-249,HOU,,GNB,L 24-42,1,0,0,,0,0,0,,0
4,2012,7,2012-10-21,23-256,HOU,,BAL,W 43-13,,,,,,,,,
5,2012,9,2012-11-11,23-277,HOU,@,CHI,W 13-6,,,,,,,,,
6,2012,10,2012-11-18,23-284,HOU,,JAX,W 43-37,0,0,0,,0,0,0,,0
7,2012,12,2012-12-02,23-298,HOU,@,TEN,W 24-10,0,0,0,,0,0,0,,0
8,2012,13,2012-12-10,23-306,HOU,@,NWE,L 14-42,2,1,19,19.00,0,0,0,,0
9,2012,14,2012-12-16,23-312,HOU,,IND,W 29-17,3,3,46,15.33,0,0,0,,0
10,2012,15,2012-12-23,23-319,HOU,,MIN,L 6-23,6,1,6,6.00,0,0,0,,0
11,2012,16,2012-12-30,23-326,HOU,@,IND,L 16-28,2,1,16,16.00,0,0,0,,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
12,2013,1,2013-09-09,24-213,HOU,@,SDG,W 31-28,,,,,,,,,
13,2013,2,2013-09-15,24-219,HOU,,TEN,W 30-24,,,,,,,,,
14,2013,3,2013-09-22,24-226,HOU,@,BAL,L 9-30,4,3,29,9.67,0,0,0,,0
15,2013,4,2013-09-29,24-233,HOU,,SEA,L 20-23,,,,,,,,,
16,2013,5,2013-10-06,24-240,HOU,@,SFO,L 3-34,2,1,5,5.00,0,0,0,,0
17,2013,6,2013-10-13,24-247,HOU,,STL,L 13-38,1,1,3,3.00,0,0,0,,0
18,2013,7,2013-10-20,24-254,HOU,@,KAN,L 16-17,2,1,42,42.00,0,0,0,,0
19,2013,8,2013-11-03,24-268,HOU,,IND,L 24-27,4,3,23,7.67,0,0,0,,0
20,2013,9,2013-11-10,24-275,HOU,@,ARI,L 24-27,6,3,34,11.33,0,0,0,,0
21,2013,10,2013-11-17,24-282,HOU,,OAK,L 23-28,4,1,5,5.00,0,0,0,,0
22,2013,11,2013-11-24,24-289,HOU,,JAX,L 6-13,1,1,5,5.00,0,0,0,,0
23,2013,12,2013-12-01,24-296,HOU,,NWE,L 31-34,,,,,,,,,
24,2013,13,2013-12-05,24-300,HOU,@,JAX,L 20-27,1,1,9,9.00,0,0,0,,0
25,2013,14,2013-12-15,24-310,HOU,@,IND,L 3-25,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
26,2014,14,2014-12-14,25-309,HOU,@,IND,L 10-17,1,1,30,30.00,0,0,0,,0
,,,26 Games,,,,,9-17-0,40,22,272,12.36,0,1,-3,-3.00,0
