
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2014,1,2014-09-04,22-144,SEA,,GNB,W 36-16,,,,,,,,,,,,,,
2,2014,2,2014-09-14,22-154,SEA,@,SDG,L 21-30,,,,,,,,,,,,,,
3,2014,3,2014-09-21,22-161,SEA,,DEN,W 26-20,1,1,7,7.00,0,0,0,,0,0,0,0.0,0,0
4,2014,4,2014-10-06,22-176,SEA,@,WAS,W 27-17,,,,,,,,,,,,,,
5,2014,6,2014-10-19,22-189,SEA,@,STL,L 26-28,5,4,33,8.25,0,0,0,,0,0,0,0.0,0,0
6,2014,7,2014-10-26,22-196,SEA,@,CAR,W 13-9,3,2,20,10.00,0,2,73,36.50,0,0,0,0.0,0,0
7,2014,8,2014-11-02,22-203,SEA,,OAK,W 30-24,6,3,12,4.00,0,2,64,32.00,0,0,0,0.0,0,0
8,2014,9,2014-11-09,22-210,SEA,,NYG,W 38-17,2,0,0,,0,1,28,28.00,0,0,0,0.0,1,0
9,2014,10,2014-11-16,22-217,SEA,@,KAN,L 20-24,4,3,24,8.00,0,2,24,12.00,0,0,0,0.0,0,0
10,2014,11,2014-11-23,22-224,SEA,,ARI,W 19-3,0,0,0,,0,1,20,20.00,0,0,0,0.0,0,0
11,2014,12,2014-11-27,22-228,SEA,@,SFO,W 19-3,1,1,6,6.00,0,1,23,23.00,0,0,0,0.0,0,0
12,2014,13,2014-12-07,22-238,SEA,@,PHI,W 24-14,3,2,27,13.50,0,3,53,17.67,0,0,0,0.0,0,0
13,2014,14,2014-12-14,22-245,SEA,,SFO,W 17-7,5,3,30,10.00,1,1,12,12.00,0,1,6,0.0,0,0
14,2014,15,2014-12-21,22-252,SEA,@,ARI,W 35-6,7,5,52,10.40,0,1,27,27.00,0,0,0,0.0,0,0
15,2014,16,2014-12-28,22-259,SEA,,STL,W 20-6,7,5,60,12.00,0,2,52,26.00,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
16,2015,9,2015-11-15,23-216,SEA,,ARI,L 32-39,1,1,40,40.00,0,0,0,,0,0,0,0.0,0,0
,,,16 Games,,,,,12-4-0,45,30,311,10.37,1,16,376,23.50,0,1,6,0.0,1,0
