
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,2010,11,2010-11-28,22-339,BUF,,PIT,L 16-19,,,,,,,,,,,,,,,
2,2010,12,2010-12-05,22-346,BUF,@,MIN,L 14-38,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,2010,13,2010-12-12,22-353,BUF,,CLE,W 13-6,,,,,,,,,,,,,,,
4,2010,14,2010-12-19,22-360,BUF,@,MIA,W 17-14,3,2,35,17.50,0,0,0,,0,0,0,,0,0,0
5,2010,15,2010-12-26,23-002,BUF,,NWE,L 3-34,8,4,74,18.50,0,0,0,,0,2,31,15.50,0,0,0
6,2010,16,2011-01-02,23-009,BUF,@,NYJ,L 7-38,6,3,30,10.00,0,1,3,3.00,0,0,0,,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts
7,2011,3,2011-09-25,23-275,BUF,,NWE,W 34-31,1,0,0,,0,0,0,,0,0,0,,0,0,0
8,2011,4,2011-10-02,23-282,BUF,@,CIN,L 20-23,1,1,28,28.00,0,0,0,,0,0,0,,0,0,0
9,2011,5,2011-10-09,23-289,BUF,,PHI,W 31-24,7,5,41,8.20,0,0,0,,0,0,0,,0,0,0
10,2011,6,2011-10-16,23-296,BUF,@,NYG,L 24-27,2,1,60,60.00,1,0,0,,0,0,0,,0,1,6
11,2011,7,2011-10-30,23-310,BUF,,WAS,W 23-0,1,1,22,22.00,0,0,0,,0,0,0,,0,0,0
12,2011,8,2011-11-06,23-317,BUF,,NYJ,L 11-27,3,1,3,3.00,0,0,0,,0,0,0,,0,0,0
13,2011,9,2011-11-13,23-324,BUF,@,DAL,L 7-44,1,1,21,21.00,0,0,0,,0,0,0,,0,0,0
14,2011,10,2011-11-20,23-331,BUF,@,MIA,L 8-35,2,2,28,14.00,0,0,0,,0,0,0,,0,0,0
15,2011,12,2011-12-04,23-345,BUF,,TEN,L 17-23,2,1,25,25.00,0,0,0,,0,0,0,,0,0,0
16,2011,13,2011-12-11,23-352,BUF,@,SDG,L 10-37,,,,,,,,,,,,,,,
17,2011,16,2012-01-01,24-008,BUF,@,NWE,L 21-49,6,3,29,9.67,0,0,0,,0,0,0,,0,0,0
,,,17 Games,,,,,5-12-0,43,25,396,15.84,1,1,3,3.00,0,2,31,15.50,0,1,6
