
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2008,1,2008-09-07,22-364,NWE,,KAN,W 17-10,0,0,,0,0,0,0,,0,1,0,0.00,0,0.0,0,0
2,2008,2,2008-09-14,23-005,NWE,@,NYJ,W 19-10,,,,,,,,,,,,,,,,
3,2008,3,2008-09-21,23-012,NWE,,MIA,L 13-38,,,,,0,,,,,,,,,,,
4,2008,4,2008-10-05,23-026,NWE,@,SFO,W 30-21,0,0,,0,0,0,0,,0,1,18,18.00,0,0.0,0,0
5,2008,5,2008-10-12,23-033,NWE,@,SDG,L 10-30,0,0,,0,0,0,0,,0,3,71,23.67,0,0.0,0,0
6,2008,6,2008-10-20,23-041,NWE,,DEN,W 41-7,0,0,,0,0,0,0,,0,1,28,28.00,0,0.0,0,0
7,2008,9,2008-11-09,23-061,NWE,,BUF,W 20-10,0,0,,0,,0,0,,0,0,0,,0,0.0,0,1
8,2008,10,2008-11-13,23-065,NWE,,NYJ,L 31-34,0,0,,0,0,0,0,,0,1,0,0.00,0,0.0,0,0
9,2008,11,2008-11-23,23-075,NWE,@,MIA,W 48-28,0,0,,0,1,0,0,,0,2,24,12.00,0,0.0,0,0
10,2008,12,2008-11-30,23-082,NWE,,PIT,L 10-33,0,0,,0,0,0,0,,0,2,14,7.00,0,0.0,0,0
11,2008,13,2008-12-07,23-089,NWE,@,SEA,W 24-21,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,0
12,2008,14,2008-12-14,23-096,NWE,@,OAK,W 49-26,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,0
13,2008,15,2008-12-21,23-103,NWE,,ARI,W 47-7,0,0,,0,1,0,0,,0,0,0,,0,0.0,1,0
14,2008,16,2008-12-28,23-110,NWE,@,BUF,W 13-0,0,0,,0,0,0,0,,0,0,0,,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
15,2009,3,2009-09-27,24-018,NWE,,ATL,W 26-10,,,,,,,,,,,,,,,,
16,2009,4,2009-10-04,24-025,NWE,,BAL,W 27-21,,,,,,,,,,,,,,,,
