
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,TD,Pts,Sk,Tkl,Ast
1,2010,1,2010-09-12,23-117,TAM,,CLE,W 17-14,9,5,30,6.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
2,2010,2,2010-09-19,23-124,TAM,@,CAR,W 20-7,7,2,54,27.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
3,2010,3,2010-09-26,23-131,TAM,,PIT,L 13-38,6,5,55,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
4,2010,4,2010-10-10,23-145,TAM,@,CIN,W 24-21,11,7,99,14.14,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
5,2010,5,2010-10-17,23-152,TAM,,NOR,L 6-31,9,4,45,11.25,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
6,2010,6,2010-10-24,23-159,TAM,,STL,W 18-17,11,5,82,16.40,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
7,2010,7,2010-10-31,23-166,TAM,@,ARI,W 38-35,6,4,105,26.25,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
8,2010,8,2010-11-07,23-173,TAM,@,ATL,L 21-27,10,4,89,22.25,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,1,0
9,2010,9,2010-11-14,23-180,TAM,,CAR,W 31-16,7,4,68,17.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
10,2010,10,2010-11-21,23-187,TAM,@,SFO,W 21-0,3,3,54,18.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
11,2010,11,2010-11-28,23-194,TAM,@,BAL,L 10-17,7,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0.0,0,0
12,2010,12,2010-12-05,23-201,TAM,,ATL,L 24-28,15,6,68,11.33,1,0,0,,0,0,0,,0,0,0,,,,1,6,0.0,0,0
